input_version,setup,cn_ad_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,
raw,setup2,0.7281960784313726,0.46153846153846156,0.6117375828153921,0.6364285714285713,0.2808988764044944,0.014754151101485924,0.3360718750422066,0.30493206731659456,0.14578322636192917,,,,,,,,,,
raw,setup3,0.8230588235294118,0.486088379705401,0.6577507540697142,0.7571428571428571,0.6696629213483146,0.1531305413494377,0.46366345516843566,0.43963497878022184,0.21082292086145657,0.023484837263822556,0.024650240316987038,0.009741993620991707,0.11727169156074524,18.0,2.0,0.0,results_plain_euclidean_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_plain_euclidean_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_plain_euclidean_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png
raw,setup4,0.8435294117647059,0.48117839607201307,0.6672889691322856,0.6614285714285715,0.34606741573033706,-0.015542326892194147,0.42129218596970225,0.3861287306905805,0.10706485270385468,,,,,,,,,,
combat,setup1,0.8472941176470589,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,
combat,setup2,0.7777647058823529,0.46317512274959083,0.6246108204762605,0.5628571428571428,0.18876404494382026,-0.031661392132101396,0.3097252065992533,0.30610786744060764,0.0614798799378933,,,,,,,,,,
combat,setup3,0.823843137254902,0.5008183306055647,0.6524682644749872,0.7192857142857143,0.7550561797752808,0.1265587247024894,0.44878695000672403,0.42837342390472327,0.19683317933126085,0.024216627702116966,0.02488730289041996,0.008706824854016304,0.16047066450119019,22.0,2.0,0.0,results_plain_euclidean_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_plain_euclidean_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_plain_euclidean_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png
combat,setup4,0.8322352941176471,0.4909983633387889,0.6628553629020845,0.5864285714285714,0.30337078651685395,0.10537944973585889,0.36519553429732543,0.3529786865780629,0.08895391371262511,,,,,,,,,,
