input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.8596078431372549,0.5764787644787644,0.7619804678628208,0.45171849427168576,0.6572470492793042,0.6435714285714286,0.3168539325842697,0.23710960875446763,0.5124470794932334,0.4669281913831996,0.045348603416511986,,,,,,,,,,
raw,setup2,0.558078431372549,0.5108416988416988,0.5239230827466121,0.3960720130932897,0.5176150900447308,0.6021428571428571,0.7033707865168539,0.013664321408227709,0.2188449236509482,0.198632959126609,0.04699486465717093,,,,,,,,,,
raw,setup3,0.7388627450980392,0.5687413127413128,0.6933530168824287,0.45171849427168576,0.6181206973910863,0.4514285714285714,0.36179775280898874,0.08474046866239915,0.3719582207774325,0.34181829851416834,0.043703038985696864,0.703298032283783,0.8302900195121765,0.608029305934906,1.3293343782424927,256.0,256.0,153.0,results_smoke_h384_l256_cls_tasks/setup3_pca_d_mod3_raw.png,results_smoke_h384_l256_cls_tasks/setup3_pairwise_distance_raw.png,results_smoke_h384_l256_cls_tasks/setup3_tsne_d_mod3_raw.png
raw,setup4,0.6566274509803922,0.5164942084942085,0.5855098796275267,0.4353518821603928,0.5431742699383156,0.6114285714285714,0.31910112359550563,0.017503023257610884,0.21679832549487899,0.2395726372972521,0.03188978632477655,,,,,,,,,,
