epoch,loss
1,5.025243503706796
2,4.778592790876116
3,4.772651297705514
4,4.770872848374503
5,4.771183746201651
6,4.770515884671893
7,4.770102296556745
8,4.770086186272757
9,4.76946108681815
10,4.7699064527239114
11,4.7691917930330545
12,4.7695013625281195
13,4.769410644258771
14,4.769185968807766
15,4.768792458942959
16,4.768824424062457
17,4.768769383430481
18,4.768600004059928
19,4.768602933202471
20,4.768684523446219
21,4.768663951328823
22,4.76815436567579
23,4.768352763993399
24,4.768193977219718
25,4.76831499167851
26,4.768097026007516
27,4.767645018441336
28,4.768036808286395
29,4.768121242523193
30,4.767499463898795
31,4.767630185399737
32,4.76715532370976
33,4.767201440674918
34,4.766973750931876
35,4.766963873590742
36,4.766638772828238
37,4.76619245324816
38,4.765857475144522
39,4.765568188258579
40,4.765691535813468
41,4.763431906700134
42,4.765609060014997
43,4.763106499399457
44,4.763548459325518
45,4.760962929044451
46,4.763243504932949
47,4.76330828666687
48,4.759824854987008
49,4.758130260876247
50,4.756393756185259
51,4.75434706892286
52,4.751616409846714
53,4.75325003692082
54,4.758153830255781
55,4.74788270677839
56,4.757892898150852
57,4.759284223828997
58,4.748647962297712
59,4.748047573225839
60,4.7499247789382935
61,4.752915143966675
62,4.747325675828116
63,4.738239407539368
64,4.746762156486511
65,4.746042302676609
66,4.736312338284084
67,4.742674010140555
68,4.740987130573818
69,4.7302908556801935
70,4.741274220602853
71,4.738079854420254
72,4.738204904964992
73,4.722048231533596
74,4.724933811596462
75,4.737110086849758
76,4.739275557654245
77,4.740216323307583
78,4.7394492626190186
79,4.7267875501087735
80,4.727241839681353
81,4.719332456588745
82,4.726242235728672
83,4.718440447534833
84,4.72417140007019
85,4.726842931338719
86,4.722008875438145
87,4.710415090833392
88,4.711392896515982
89,4.721499749592373
90,4.713635342461722
91,4.704450164522443
92,4.729252661977496
93,4.7228544269289285
94,4.714211072240557
95,4.70079641682761
96,4.711362753595624
97,4.7121365410940985
98,4.70421746798924
99,4.708313056400844
100,4.703248858451843
101,4.716450844492231
102,4.707548686436245
103,4.700828313827515
104,4.700141191482544
105,4.699835113116673
106,4.70543156351362
107,4.707926375525338
108,4.705006888934544
