epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,300.1654357910156,300.17212636847245,-0.006692414410951498,hybrid,1.0,1.0,20.0,1.0
2,269.3422763222142,269.4019606740851,-0.059684985292781344,hybrid,1.0,1.0,20.0,1.0
3,249.5187763414885,249.54045426218133,-0.021676794524721214,hybrid,1.0,1.0,20.0,1.0
4,239.7989646510074,239.87664152446547,-0.07767852238918606,hybrid,1.0,1.0,20.0,1.0
5,225.95681200529398,226.0202861585115,-0.06347454296375968,hybrid,1.0,1.0,20.0,1.0
6,213.8345818770559,213.92881774902344,-0.09423782156878396,hybrid,1.0,1.0,20.0,1.0
7,201.84952906558388,201.93625761333266,-0.0867292751607142,hybrid,1.0,1.0,20.0,1.0
8,189.85815349378083,189.94457445646586,-0.08641970539955716,hybrid,1.0,1.0,20.0,1.0
9,178.47643159565172,178.58444615414268,-0.1080153631781669,hybrid,1.0,1.0,20.0,1.0
10,166.42364100406044,166.5247634084601,-0.10112153263272423,hybrid,1.0,1.0,20.0,1.0
11,156.16234468158922,156.24814164011102,-0.08579663625967346,hybrid,1.0,1.0,20.0,1.0
12,147.0563322368421,147.16405125668174,-0.10771630920077625,hybrid,1.0,1.0,20.0,1.0
13,138.37916645250823,138.5091761538857,-0.1300102447796809,hybrid,1.0,1.0,20.0,1.0
14,130.37214941727487,130.48297962389495,-0.11083105284916728,hybrid,1.0,1.0,20.0,1.0
15,120.58228061073704,120.71463133159436,-0.13235112593362205,hybrid,1.0,1.0,20.0,1.0
16,110.46851107948704,110.6360276874743,-0.16751629074937419,hybrid,1.0,1.0,20.0,1.0
17,100.12834609182258,100.284204583419,-0.15585971762132095,hybrid,1.0,1.0,20.0,1.0
18,91.33698955335115,91.50653196635999,-0.1695419899433067,hybrid,1.0,1.0,20.0,1.0
19,83.16752664666427,83.35358549419202,-0.18605946122031464,hybrid,1.0,1.0,20.0,1.0
20,75.93533967670642,76.09828065571033,-0.16294148838833758,hybrid,1.0,1.0,20.0,1.0
21,69.9555105912058,70.1396753411544,-0.18416514914286763,hybrid,1.0,1.0,20.0,1.0
22,64.51370500263415,64.69452687313682,-0.1808217893305578,hybrid,1.0,1.0,20.0,1.0
23,59.743536497417246,59.929642727500514,-0.1861065433997857,hybrid,1.0,1.0,20.0,1.0
24,54.94507498490183,55.12584164268092,-0.18076661974191666,hybrid,1.0,1.0,20.0,1.0
25,50.92021701210424,51.090455506977285,-0.17023846389431702,hybrid,1.0,1.0,20.0,1.0
26,46.36439574392218,46.5283317565918,-0.16393555367463514,hybrid,1.0,1.0,20.0,1.0
27,42.96220759341591,43.16125809518915,-0.19905090096749758,hybrid,1.0,1.0,20.0,1.0
28,39.65889438829924,39.856514378597865,-0.19762009774383746,hybrid,1.0,1.0,20.0,1.0
29,36.48582679346988,36.672876056871914,-0.18704920928729207,hybrid,1.0,1.0,20.0,1.0
30,32.69098492672569,32.90451531661184,-0.213530007553728,hybrid,1.0,1.0,20.0,1.0
31,29.99243294565301,30.226562299226458,-0.23412936220043584,hybrid,1.0,1.0,20.0,1.0
32,27.830131430374948,28.044642799778988,-0.21451135371860705,hybrid,1.0,1.0,20.0,1.0
33,24.626223714728106,24.850527813560085,-0.22430398903395,hybrid,1.0,1.0,20.0,1.0
34,21.580380991885537,21.812548687583522,-0.23216776549816132,hybrid,1.0,1.0,20.0,1.0
35,19.034100582725124,19.24437593158923,-0.21027529945499018,hybrid,1.0,1.0,20.0,1.0
36,16.527002083627803,16.75462702700966,-0.22762484377936312,hybrid,1.0,1.0,20.0,1.0
37,14.23541922318308,14.459431196513929,-0.22401199332977595,hybrid,1.0,1.0,20.0,1.0
38,11.90572788840846,12.135013781095806,-0.22928596150718236,hybrid,1.0,1.0,20.0,1.0
39,9.888194435521177,10.103641510009766,-0.21544690351737172,hybrid,1.0,1.0,20.0,1.0
40,8.062549114227295,8.290054622449373,-0.22750557684584669,hybrid,1.0,1.0,20.0,1.0
41,6.656917446538022,6.87778219423796,-0.22086475436624728,hybrid,1.0,1.0,20.0,1.0
42,5.662516669223183,5.903841997447767,-0.241325307833521,hybrid,1.0,1.0,20.0,1.0
43,5.061135317149915,5.29950317583586,-0.23836783202070938,hybrid,1.0,1.0,20.0,1.0
44,4.792047952350817,5.010640721572073,-0.2185928037292079,hybrid,1.0,1.0,20.0,1.0
