epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,300.26461631373354,300.2760804828845,-0.011465270023204778,hybrid,1.0,1.0,10.0,1.0
2,268.39363258763365,268.46339416503906,-0.06976085578973748,hybrid,1.0,1.0,10.0,1.0
3,249.13411752801193,249.18298420153167,-0.04886960265177645,hybrid,1.0,1.0,10.0,1.0
4,236.86277289139596,236.93764134457237,-0.07486757498822715,hybrid,1.0,1.0,10.0,1.0
5,224.96639693410773,225.0389219585218,-0.07252691220798481,hybrid,1.0,1.0,10.0,1.0
6,213.85256395841898,213.91727487664474,-0.06471181236893724,hybrid,1.0,1.0,10.0,1.0
7,200.0013596384149,200.0839514481394,-0.08259258036942858,hybrid,1.0,1.0,10.0,1.0
8,188.85715605083266,188.9437087209601,-0.08655390435045487,hybrid,1.0,1.0,10.0,1.0
9,177.26047315095602,177.36540864643297,-0.10493412055075169,hybrid,1.0,1.0,10.0,1.0
10,166.5178511770148,166.62013726485404,-0.1022881674825361,hybrid,1.0,1.0,10.0,1.0
11,157.54818404348273,157.62578703227797,-0.07760356449963231,hybrid,1.0,1.0,10.0,1.0
12,148.08191560444078,148.18988920512953,-0.10797463657677565,hybrid,1.0,1.0,10.0,1.0
13,138.36357759174547,138.4831189607319,-0.11954089783524212,hybrid,1.0,1.0,10.0,1.0
14,129.41623246042352,129.52914549175063,-0.11291372913279031,hybrid,1.0,1.0,10.0,1.0
15,121.39401847437809,121.52044597424958,-0.1264284788385818,hybrid,1.0,1.0,10.0,1.0
16,111.82219214188426,111.97894407573499,-0.15675205462857297,hybrid,1.0,1.0,10.0,1.0
17,100.82164162083676,100.99645594546669,-0.17481398807936593,hybrid,1.0,1.0,10.0,1.0
18,90.06740208675987,90.24470359400699,-0.1773025732683508,hybrid,1.0,1.0,10.0,1.0
19,82.49799467387952,82.65746628610711,-0.15947212396483673,hybrid,1.0,1.0,10.0,1.0
20,75.57042493318257,75.72985920153167,-0.15943420207814166,hybrid,1.0,1.0,10.0,1.0
21,69.31189286081414,69.48754360801296,-0.17565077700112997,hybrid,1.0,1.0,10.0,1.0
22,65.20624963860763,65.37647849635074,-0.1702288922510649,hybrid,1.0,1.0,10.0,1.0
23,60.038707532380755,60.22770610608553,-0.18899814157109512,hybrid,1.0,1.0,10.0,1.0
24,54.894246553119864,55.072370629561576,-0.17812396821222806,hybrid,1.0,1.0,10.0,1.0
25,51.29955894068668,51.46927060578999,-0.16971180627220556,hybrid,1.0,1.0,10.0,1.0
26,47.06502231798674,47.23660559403269,-0.171583417999117,hybrid,1.0,1.0,10.0,1.0
