epoch,loss
1,5.0585877895355225
2,4.779362065451486
3,4.772895608629499
4,4.771661605153765
5,4.770788107599531
6,4.770964094570705
7,4.770330156598773
8,4.770639061927795
9,4.769704631396702
10,4.769765768732343
11,4.769623722348895
12,4.769709689276559
13,4.7693714414324075
14,4.7692906856536865
15,4.769136548042297
16,4.7691947902951926
17,4.768280778612409
18,4.768697261810303
19,4.768714189529419
20,4.767856938498361
21,4.768565944262913
22,4.768648760659354
23,4.768207447869437
24,4.768529534339905
25,4.76812139579228
26,4.7678260292325705
27,4.767888716288975
28,4.767738154956272
29,4.7675789424351285
30,4.767876812389919
31,4.767225282532828
32,4.767309256962368
33,4.767572437013898
34,4.767198051725115
35,4.766927974564688
36,4.766745516232082
37,4.766568013599941
38,4.7660859142030985
39,4.765709962163653
40,4.765317491122654
41,4.765862005097525
42,4.7656731605529785
43,4.765044246401105
44,4.765385236058917
45,4.764225091253008
46,4.763999394008091
47,4.763262629508972
48,4.763577103614807
49,4.761555092675345
50,4.761951378413609
51,4.759579982076373
52,4.758586883544922
53,4.759178417069571
54,4.758226241384234
55,4.757522412708828
56,4.753647140094212
57,4.755673136029925
58,4.754969256264823
59,4.745669552258083
60,4.743938956941877
