epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,299.7250502736945,299.7260822496916,-0.003441786356760483,hybrid,1.0,1.0,4.0,0.3
2,269.59977802477385,269.6137036775288,-0.04641773447541422,hybrid,1.0,1.0,4.0,0.3
3,249.3153076171875,249.32149465460526,-0.020619519496042477,hybrid,1.0,1.0,4.0,0.3
4,239.4395583303351,239.45622092799135,-0.055543562875276335,hybrid,1.0,1.0,4.0,0.3
5,224.92917592901932,224.94348706697164,-0.04770133331246478,hybrid,1.0,1.0,4.0,0.3
6,214.5803327058491,214.5969053569593,-0.05524685243634801,hybrid,1.0,1.0,4.0,0.3
7,201.8120301899157,201.83188428376852,-0.0661803268778481,hybrid,1.0,1.0,4.0,0.3
8,189.58569496556333,189.6065529271176,-0.06952274816208764,hybrid,1.0,1.0,4.0,0.3
9,178.88208650287828,178.91100993909333,-0.09641226969267193,hybrid,1.0,1.0,4.0,0.3
10,166.4013800370066,166.42838889674135,-0.09002897241397907,hybrid,1.0,1.0,4.0,0.3
11,156.89426703202096,156.9155233282792,-0.07085122538142298,hybrid,1.0,1.0,4.0,0.3
12,147.2147795024671,147.2492715935958,-0.11497018883298886,hybrid,1.0,1.0,4.0,0.3
13,137.8335639552066,137.86990958765932,-0.1211503665698202,hybrid,1.0,1.0,4.0,0.3
14,128.7007329840409,128.73598841616982,-0.11751931381264799,hybrid,1.0,1.0,4.0,0.3
15,120.56979410271896,120.60764995374177,-0.12618619203567505,hybrid,1.0,1.0,4.0,0.3
16,110.33005925228721,110.37320428145559,-0.14381201663299611,hybrid,1.0,1.0,4.0,0.3
17,99.53391024940892,99.5813442029451,-0.1581125734864097,hybrid,1.0,1.0,4.0,0.3
18,90.46668885883533,90.51139068603516,-0.1490034535465958,hybrid,1.0,1.0,4.0,0.3
19,82.9068149767424,82.95289330733449,-0.15359288767764442,hybrid,1.0,1.0,4.0,0.3
20,75.86440758956105,75.91155644467003,-0.15716048918272318,hybrid,1.0,1.0,4.0,0.3
21,69.65946558902138,69.70979710629112,-0.16776969715168602,hybrid,1.0,1.0,4.0,0.3
22,64.46370215164988,64.50919582969264,-0.15164522405125594,hybrid,1.0,1.0,4.0,0.3
23,59.520789899324114,59.564856479042454,-0.1468874727816958,hybrid,1.0,1.0,4.0,0.3
24,55.77306526585629,55.82133664582905,-0.16090516275481173,hybrid,1.0,1.0,4.0,0.3
25,51.04123627512079,51.09063078227796,-0.16464965202306447,hybrid,1.0,1.0,4.0,0.3
26,47.336522353322884,47.38806674354955,-0.17181275745755747,hybrid,1.0,1.0,4.0,0.3
27,43.41490615041632,43.46509572079307,-0.1672994162103063,hybrid,1.0,1.0,4.0,0.3
28,39.766517438386614,39.816721866005345,-0.16734905148807325,hybrid,1.0,1.0,4.0,0.3
29,36.017985695286804,36.069293574282995,-0.17102700569912008,hybrid,1.0,1.0,4.0,0.3
30,32.5512685273823,32.60967104058517,-0.19467496401385256,hybrid,1.0,1.0,4.0,0.3
31,29.33148835834704,29.39195974249589,-0.20157109710731005,hybrid,1.0,1.0,4.0,0.3
32,26.840388348228053,26.895780764128034,-0.18464081852059616,hybrid,1.0,1.0,4.0,0.3
33,23.808995899401214,23.870073619641754,-0.20359210552353607,hybrid,1.0,1.0,4.0,0.3
34,20.887087169446442,20.949572713751543,-0.2082850893861369,hybrid,1.0,1.0,4.0,0.3
35,18.064004044783744,18.124942377993936,-0.20312785788586266,hybrid,1.0,1.0,4.0,0.3
36,15.651468226784154,15.715923108552632,-0.214849396363685,hybrid,1.0,1.0,4.0,0.3
37,13.208124010186447,13.27403695959794,-0.21970978418463155,hybrid,1.0,1.0,4.0,0.3
38,11.09321779953806,11.156380603187962,-0.21054269804766304,hybrid,1.0,1.0,4.0,0.3
39,9.238634209883841,9.298978153027987,-0.20114628029497048,hybrid,1.0,1.0,4.0,0.3
40,7.544844501896908,7.605272619347823,-0.20142712287212672,hybrid,1.0,1.0,4.0,0.3
41,6.2790861882661515,6.343174156389739,-0.21362649610168055,hybrid,1.0,1.0,4.0,0.3
42,5.412512954912688,5.477667331695557,-0.21718131750822067,hybrid,1.0,1.0,4.0,0.3
43,4.970299494893927,5.035865608014558,-0.2185537117092233,hybrid,1.0,1.0,4.0,0.3
44,4.817195239819978,4.879422739932411,-0.20742486338866384,hybrid,1.0,1.0,4.0,0.3
45,4.77452712309988,4.841365487951982,-0.22279459708615354,hybrid,1.0,1.0,4.0,0.3
46,4.768652890857897,4.836151951237729,-0.22499679185842214,hybrid,1.0,1.0,4.0,0.3
