input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.45990180032733224,0.6100324148600236,0.6264285714285713,0.24044943820224718,0.05667737860061095,0.3766981130296147,0.33840706791516206,0.09952133573890615,,,,,,,,,,,,,,,,,
raw,setup3,0.8043137254901962,0.5865328185328185,0.7316602316602318,0.48936170212765956,0.6389529166836598,0.7621428571428571,0.6651685393258427,0.1076418071343338,0.4344992642135965,0.40576908609490325,0.1706515578842805,hybrid,1.0,1.0,4.0,0.3,1.0,0.026982953771948814,0.028627611696720123,0.0148709611967206,0.1170797273516655,22.0,3.0,0.0,0.07416295379733284,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7571428571428571,0.6674157303370787,,0.4390281264279208,0.4087480620216212,,hybrid,1.0,1.0,4.0,0.3,1.0,,,,,,,,,,,
raw,setup4,0.8310196078431372,0.6136061776061776,0.7807176924823983,0.5106382978723404,0.6815797295288193,0.5907142857142857,0.5393258426966292,0.12173146588324724,0.4365688536631708,0.39911317267643825,0.0995485364232986,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.20224719101123598,0.03846202746765437,0.3364881530149269,0.3309324234107262,0.09127184302438816,,,,,,,,,,,,,,,,,
combat,setup3,0.8349019607843138,0.6093899613899613,0.7500946324475737,0.48936170212765956,0.6589754735071077,0.7271428571428572,0.6314606741573033,0.11376082357912842,0.44879815708192805,0.43397400386464585,0.16450599684670938,hybrid,1.0,1.0,4.0,0.3,1.0,0.0260311309248209,0.02510659210383892,0.01352451741695404,0.14495205879211426,20.0,1.0,0.0,0.14701026556419566,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7042857142857143,0.6471910112359551,,0.4064162688050995,0.40110152402567106,,hybrid,1.0,1.0,4.0,0.3,1.0,,,,,,,,,,,
combat,setup4,0.8119999999999999,0.5950115830115831,0.7516087516087515,0.5057283142389526,0.693331903201555,0.6635714285714286,0.2584269662921348,0.1605617447082961,0.4373020455125383,0.4185925976196602,0.09123028903187347,,,,,,,,,,,,,,,,,
