cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,z_std_test,z_active_dims_005,mci_conv_auc,cn_mci_conv_auc,input_version,seed,setup,pretrain_final_loss,alignment_spearman
0.8388627450980392,0.6092664092664093,0.7619804678628208,0.5040916530278232,0.6679534838802478,0.15500718843752848,0.4477698833428616,0.40382182225469937,0.8635454177856445,256.0,0.7296918767507004,0.49259259259259264,raw,0,dx_pretrain_setup3,0.7871946849321064,
0.8060392156862745,0.597945945945946,0.7093648270118857,0.4795417348608838,0.6348463282888752,0.13513981638075212,0.43653057951135954,0.4088786897872025,,,0.6974789915966386,0.37037037037037035,raw,0,dx_pretrain_setup4,0.7871946849321064,0.047817495703172466
0.8270980392156863,0.6037374517374516,0.7495646907411614,0.486088379705401,0.6583524776655385,0.1289807134000276,0.42541044791235333,0.385605220060174,0.8654839396476746,256.0,0.7464985994397759,0.48888888888888893,raw,1,dx_pretrain_setup3,0.7928756381336012,
0.8022745098039216,0.5967876447876448,0.7437731849496555,0.4779050736497545,0.6541577206825601,0.15400903039411817,0.418652272069522,0.3884843970052941,,,0.65406162464986,0.35185185185185186,raw,1,dx_pretrain_setup4,0.7928756381336012,0.036701930376400516
0.8344313725490197,0.5999382239382239,0.7628889393595277,0.49263502454991814,0.6636225528255298,0.13073772080363866,0.4285200859451462,0.38738971212965345,0.9418753981590271,256.0,0.7436974789915967,0.5185185185185186,raw,2,dx_pretrain_setup3,0.7864164835528323,
0.8154901960784313,0.5792123552123553,0.7611098493451435,0.4795417348608838,0.6615025847474006,-0.004129407008611974,0.40448867216897866,0.38399623110224473,,,0.6820728291316527,0.3481481481481482,raw,2,dx_pretrain_setup4,0.7864164835528323,0.06618829442646099
0.8312156862745097,0.6127567567567567,0.7602770838064956,0.5040916530278232,0.669209520921839,0.13456770145900954,0.4293712142951926,0.39468966304559977,0.8580729365348816,256.0,0.73109243697479,0.562962962962963,raw,3,dx_pretrain_setup3,0.7789367594216999,
0.8269019607843137,0.5924787644787646,0.756681050798698,0.4795417348608838,0.6546138300290302,0.14621542282461075,0.4410182177509752,0.4112932780098704,,,0.6582633053221288,0.3666666666666667,raw,3,dx_pretrain_setup4,0.7789367594216999,0.05565011118879684
0.8247058823529412,0.6008648648648649,0.7489968960557196,0.49427168576104746,0.6588608714752956,0.12471369753907402,0.42151359565084456,0.3753595420084269,0.892549455165863,256.0,0.7478991596638656,0.40740740740740744,raw,4,dx_pretrain_setup3,0.7785729420812506,
0.7916470588235295,0.6145637065637066,0.7503596033007798,0.4877250409165303,0.6622406877910366,0.08699193240952097,0.38518577518325214,0.3573016607034539,,,0.7072829131652661,0.34814814814814815,raw,4,dx_pretrain_setup4,0.7785729420812506,0.05063680378110301
0.848078431372549,0.6154749034749034,0.7548641078052842,0.502454991816694,0.668337000894169,0.12296142749728223,0.42405763748741254,0.3957490473853141,0.9269311428070068,256.0,0.7338935574229692,0.35555555555555557,combat,0,dx_pretrain_setup3,0.7428912928229884,
0.7707450980392156,0.6090965250965251,0.7229918994624878,0.44844517184942717,0.6347955840607632,0.14179218392439952,0.4426806598956352,0.40791484311252874,,,0.7128851540616247,0.3888888888888889,combat,0,dx_pretrain_setup4,0.7428912928229884,0.04970541676465064
0.8407058823529412,0.6141776061776062,0.748353395412219,0.48936170212765956,0.6674914651261501,0.1099843034220962,0.40838788875563203,0.371492633972373,0.8259252309799194,256.0,0.7563025210084033,0.4148148148148148,combat,1,dx_pretrain_setup3,0.7347781846397802,
0.8198823529411764,0.6174671814671815,0.7309410250586722,0.5008183306055647,0.656896620257283,0.1744542115108525,0.4353299735517146,0.4095482951840284,,,0.7871148459383753,0.4666666666666667,combat,1,dx_pretrain_setup4,0.7347781846397802,0.04526138968372088
0.8455686274509804,0.6251737451737451,0.7421833598304186,0.5073649754500819,0.6723985479688149,0.12466336016968693,0.41705377208806255,0.38030545748389777,0.918219268321991,256.0,0.7226890756302521,0.4740740740740741,combat,2,dx_pretrain_setup3,0.7281527832934731,
0.7906666666666667,0.6196602316602317,0.7609584374290257,0.513911620294599,0.6664457800139445,0.03758887403451394,0.39759034724498704,0.37243043926808467,,,0.7478991596638656,0.44074074074074077,combat,2,dx_pretrain_setup4,0.7281527832934731,0.06023549823997105
0.8429803921568627,0.6282471042471042,0.7425240366416836,0.5106382978723404,0.6732887862770687,0.1038813831051808,0.4039897999823084,0.36506730512762636,0.8536649942398071,256.0,0.7436974789915967,0.4888888888888889,combat,3,dx_pretrain_setup3,0.7276243285128945,
0.8301176470588236,0.598996138996139,0.7430539783480961,0.5040916530278232,0.661716350310507,0.10538560596344149,0.4268389066221796,0.4055872699217864,,,0.7535014005602241,0.425925925925926,combat,3,dx_pretrain_setup4,0.7276243285128945,0.056518262371890886
0.8380392156862746,0.619011583011583,0.742561889620713,0.5188216039279869,0.670414243742083,0.14412184906453385,0.4312594807948692,0.3963339525394553,0.8951476812362671,256.0,0.7507002801120448,0.4555555555555556,combat,4,dx_pretrain_setup3,0.7370971472639787,
0.8247058823529412,0.6176061776061776,0.7443788326141267,0.49427168576104746,0.6837545526464114,0.11791187153062643,0.4095595406751974,0.3877217791680542,,,0.6904761904761905,0.37037037037037035,combat,4,dx_pretrain_setup4,0.7370971472639787,0.059157700804021
