epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.07376624658507736,1963.9014121607731,-0.07376624658507736,rank_kendall,0.1,1.0,5.0,,1.0
2,-0.08366801817656348,2139.2551590768912,-0.08366801817656348,rank_kendall,0.1,1.0,5.0,,1.0
3,-0.13362263269281308,2154.242091128701,-0.13362263269281308,rank_kendall,0.1,1.0,5.0,,1.0
4,-0.1453589388218365,2167.067671926398,-0.1453589388218365,rank_kendall,0.1,1.0,5.0,,1.0
5,-0.1654690057039261,2147.7414615028783,-0.1654690057039261,rank_kendall,0.1,1.0,5.0,,1.0
6,-0.16879422041146377,2135.8418354235196,-0.16879422041146377,rank_kendall,0.1,1.0,5.0,,1.0
7,-0.20265500267085276,2184.923911646793,-0.20265500267085276,rank_kendall,0.1,1.0,5.0,,1.0
8,-0.21083727635835348,2192.7128777754933,-0.21083727635835348,rank_kendall,0.1,1.0,5.0,,1.0
9,-0.2146274761149758,2132.6408305921054,-0.2146274761149758,rank_kendall,0.1,1.0,5.0,,1.0
10,-0.21332582321606183,2251.51025390625,-0.21332582321606183,rank_kendall,0.1,1.0,5.0,,1.0
11,-0.23366941982193998,2250.2069413034537,-0.23366941982193998,rank_kendall,0.1,1.0,5.0,,1.0
12,-0.2454797154978702,2216.0176295230262,-0.2454797154978702,rank_kendall,0.1,1.0,5.0,,1.0
13,-0.2177944516665057,2221.323306435033,-0.2177944516665057,rank_kendall,0.1,1.0,5.0,,1.0
14,-0.2354629298574046,2160.5766665810033,-0.2354629298574046,rank_kendall,0.1,1.0,5.0,,1.0
15,-0.2572274231596997,2230.0361906352796,-0.2572274231596997,rank_kendall,0.1,1.0,5.0,,1.0
16,-0.26855242252349854,2252.9980854235196,-0.26855242252349854,rank_kendall,0.1,1.0,5.0,,1.0
17,-0.2724438223399614,2207.6797645970396,-0.2724438223399614,rank_kendall,0.1,1.0,5.0,,1.0
18,-0.26475630073170914,2189.1696520353617,-0.26475630073170914,rank_kendall,0.1,1.0,5.0,,1.0
19,-0.27355940953681346,2193.1768606085525,-0.27355940953681346,rank_kendall,0.1,1.0,5.0,,1.0
20,-0.27193943920888397,2271.6000462582238,-0.27193943920888397,rank_kendall,0.1,1.0,5.0,,1.0
21,-0.2613200106118855,2287.455341539885,-0.2613200106118855,rank_kendall,0.1,1.0,5.0,,1.0
22,-0.2821798701035349,2266.1674290707238,-0.2821798701035349,rank_kendall,0.1,1.0,5.0,,1.0
23,-0.2958932526801762,2298.0055381373354,-0.2958932526801762,rank_kendall,0.1,1.0,5.0,,1.0
24,-0.2617162611139448,2275.7707648026317,-0.2617162611139448,rank_kendall,0.1,1.0,5.0,,1.0
25,-0.28600841446926717,2241.097020199424,-0.28600841446926717,rank_kendall,0.1,1.0,5.0,,1.0
26,-0.28541354678179087,2287.999691611842,-0.28541354678179087,rank_kendall,0.1,1.0,5.0,,1.0
27,-0.27504880726337433,2323.869693153783,-0.27504880726337433,rank_kendall,0.1,1.0,5.0,,1.0
28,-0.29653053377804,2316.7770739103617,-0.29653053377804,rank_kendall,0.1,1.0,5.0,,1.0
29,-0.2876550963050441,2277.0558054070725,-0.2876550963050441,rank_kendall,0.1,1.0,5.0,,1.0
30,-0.30408918700720133,2244.8013209292762,-0.30408918700720133,rank_kendall,0.1,1.0,5.0,,1.0
31,-0.30295037674276454,2207.0591334292762,-0.30295037674276454,rank_kendall,0.1,1.0,5.0,,1.0
32,-0.2945401088187569,2246.5105365953946,-0.2945401088187569,rank_kendall,0.1,1.0,5.0,,1.0
33,-0.31537082712901265,2302.8770430715463,-0.31537082712901265,rank_kendall,0.1,1.0,5.0,,1.0
34,-0.30681457645014715,2284.810970908717,-0.30681457645014715,rank_kendall,0.1,1.0,5.0,,1.0
35,-0.27371426867811305,2302.5806884765625,-0.27371426867811305,rank_kendall,0.1,1.0,5.0,,1.0
36,-0.2982755366124605,2317.0759020353617,-0.2982755366124605,rank_kendall,0.1,1.0,5.0,,1.0
37,-0.3058432215138486,2328.110968338816,-0.3058432215138486,rank_kendall,0.1,1.0,5.0,,1.0
38,-0.29651856814560135,2271.892269736842,-0.29651856814560135,rank_kendall,0.1,1.0,5.0,,1.0
39,-0.2989321225567868,2287.298031455592,-0.2989321225567868,rank_kendall,0.1,1.0,5.0,,1.0
40,-0.3077032801352049,2320.752814041941,-0.3077032801352049,rank_kendall,0.1,1.0,5.0,,1.0
41,-0.3170073173548046,2324.9470728824012,-0.3170073173548046,rank_kendall,0.1,1.0,5.0,,1.0
42,-0.32209876101267965,2333.3521407277963,-0.32209876101267965,rank_kendall,0.1,1.0,5.0,,1.0
43,-0.33675052853007065,2310.9757786800988,-0.33675052853007065,rank_kendall,0.1,1.0,5.0,,1.0
44,-0.32485982697261007,2278.7180047286183,-0.32485982697261007,rank_kendall,0.1,1.0,5.0,,1.0
45,-0.30642509695730713,2276.660708778783,-0.30642509695730713,rank_kendall,0.1,1.0,5.0,,1.0
46,-0.3241749664670543,2258.0379831414475,-0.3241749664670543,rank_kendall,0.1,1.0,5.0,,1.0
47,-0.3218549858582647,2246.7921849300988,-0.3218549858582647,rank_kendall,0.1,1.0,5.0,,1.0
48,-0.32175368776446894,2275.3852796052633,-0.32175368776446894,rank_kendall,0.1,1.0,5.0,,1.0
49,-0.3385047081269716,2331.8064992804275,-0.3385047081269716,rank_kendall,0.1,1.0,5.0,,1.0
50,-0.329837577123391,2291.3820415296054,-0.329837577123391,rank_kendall,0.1,1.0,5.0,,1.0
51,-0.3244716556448686,2333.6985634251646,-0.3244716556448686,rank_kendall,0.1,1.0,5.0,,1.0
52,-0.3289539312061511,2334.3214818050988,-0.3289539312061511,rank_kendall,0.1,1.0,5.0,,1.0
53,-0.3402978895526183,2294.805291426809,-0.3402978895526183,rank_kendall,0.1,1.0,5.0,,1.0
54,-0.33360008738542857,2272.151971114309,-0.33360008738542857,rank_kendall,0.1,1.0,5.0,,1.0
55,-0.33671345051966217,2307.346319901316,-0.33671345051966217,rank_kendall,0.1,1.0,5.0,,1.0
56,-0.33470740835917623,2270.2052194695725,-0.33470740835917623,rank_kendall,0.1,1.0,5.0,,1.0
