input_version,setup,n_seeds,cn_ad_auc_mean,cn_ad_auc_std,cn_mci_cls_auc_mean,cn_mci_cls_auc_std,mci_ad_cls_auc_mean,mci_ad_cls_auc_std,3class_acc_mean,3class_acc_std,3class_macro_auc_mean,3class_macro_auc_std,r2_d_mod3_mean,r2_d_mod3_std,pearson_d_mod3_mean,pearson_d_mod3_std,spearman_d_mod3_mean,spearman_d_mod3_std,z_std_test_mean,z_std_test_std,z_active_dims_005_mean,z_active_dims_005_std,mci_conv_auc_mean,mci_conv_auc_std,cn_mci_conv_auc_mean,cn_mci_conv_auc_std,alignment_spearman_mean,alignment_spearman_std
combat,dx_pretrain_setup3,1,0.742,,0.541930501930502,,0.6711711711711712,,0.4386252045826514,,0.6022599032439127,,0.0950992249822572,,0.3837475679770681,,0.35719139256142474,,1.373103380203247,,256.0,,0.5938375350140056,,0.31851851851851853,,,
combat,dx_pretrain_setup4,1,0.6134901960784315,,0.5227644787644787,,0.5782421076538723,,0.41734860883797054,,0.5240445710968623,,-0.14906709153121578,,-0.06438239086136714,,-0.07561506317533317,,,,,,0.645658263305322,,0.3962962962962963,,-0.006221311738454067,
raw,dx_pretrain_setup3,1,0.7305882352941176,,0.5464864864864865,,0.6663638428344311,,0.4386252045826514,,0.5984784768784454,,0.08988574328366306,,0.36809963837589676,,0.34760448248414766,,1.3660848140716553,,256.0,,0.5210084033613445,,0.34444444444444444,,,
raw,dx_pretrain_setup4,1,0.6350588235294118,,0.534069498069498,,0.5521992580816111,,0.42716857610474634,,0.5367979486113593,,0.004550455239651141,,0.1585568569808487,,0.2770241911258346,,,,,,0.6162464985994398,,0.24814814814814817,,0.0032762685176563186,
