input_version,setup,cn_ad_auc,3class_acc,3class_macro_auc,mci_conv_auc,r2_d_mod3,pearson_d_mod3,alignment_spearman
raw,setup1,0.8635966190614981,0.49743589743589745,0.6569549591372933,0.5,0.17788472040749825,0.46184625842808585,
raw,setup2,0.7210725735937046,0.4256410256410256,0.6089204464438741,0.5238095238095238,0.054209606607718896,,
raw,setup3,0.6813368308559214,0.44358974358974357,0.5801248117938678,0.5880952380952381,0.1304602286765455,0.3931805104628459,0.025437281025696427
combat,setup1,0.7923831730302147,0.46153846153846156,0.6271827579444587,0.49523809523809526,-0.0783919927232668,0.2977074028134515,
combat,setup2,0.6737588652482269,0.4128205128205128,0.5645622574863935,0.6619047619047619,-0.025164610334701853,,
combat,setup3,0.6768677742154862,0.41025641025641024,0.5694899263201331,0.6642857142857143,0.011508367101361383,0.24089787217484399,0.08184901837720068
