input_version,setup,cn_ad_auc,3class_acc,3class_macro_auc,mci_conv_auc,r2_d_mod3,pearson_d_mod3,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.45171849427168576,0.657122449587882,0.6435714285714286,0.2370208374243633,0.5123545020823749,,,,,,,,,,,
raw,setup2,0.7735686274509804,0.4402618657937807,0.5893044457991926,0.5914285714285714,0.02616594156067642,,,,,,,,,,,,
raw,setup3,0.8061960784313725,0.5090016366612111,0.6527256284637082,0.7142857142857142,0.13754405489055865,0.44669979265132187,0.012488498352468014,0.012860910966992378,0.0025617852807044983,0.12671086192131042,13.0,4.0,0.0,0.21600208962392822,results_plain_euclidean_05152016_s60_c150_l768/setup3_pca_d_mod3_raw.png,results_plain_euclidean_05152016_s60_c150_l768/setup3_pairwise_distance_raw.png,results_plain_euclidean_05152016_s60_c150_l768/setup3_tsne_d_mod3_raw.png
raw,setup4,0.8101960784313725,0.4844517184942717,0.6660667639862305,0.6835714285714286,-0.03515029487793386,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.14760243322690314,0.4450355542121561,,,,,,,,,,,
combat,setup2,0.7888235294117647,0.47299509001636664,0.6260773006001602,0.5914285714285714,0.04574901062815795,,,,,,,,,,,,
combat,setup3,0.8131372549019608,0.5090016366612111,0.6632736407752876,0.7085714285714286,0.1356489949659181,0.4469239485992286,0.012705718167126179,0.012840447016060352,0.0020826468244194984,0.1776094138622284,12.0,2.0,0.0,0.20006491931644274,results_plain_euclidean_05152016_s60_c150_l768/setup3_pca_d_mod3_combat.png,results_plain_euclidean_05152016_s60_c150_l768/setup3_pairwise_distance_combat.png,results_plain_euclidean_05152016_s60_c150_l768/setup3_tsne_d_mod3_combat.png
combat,setup4,0.836156862745098,0.469721767594108,0.675756150356901,0.6021428571428571,-0.00029354654018165505,,,,,,,,,,,,
