epoch,loss
1,885.7264275801809
2,766.8504542300576
3,733.0593133223684
4,687.7527787057977
5,650.727294921875
6,616.1911460474918
7,582.8894878186678
8,544.6298346268503
9,511.28138491981906
10,475.2936192562706
11,435.1474320261102
12,399.48854948344984
13,372.96819425884047
14,348.31187198036594
15,326.2055551629317
16,312.06610910516036
17,294.1780010022615
18,278.88671714381167
19,268.9939543071546
20,255.9840272602282
21,248.00822047183388
22,232.92242190712378
23,224.63933844315378
24,211.59224500154195
25,201.86128074244448
26,196.84154550652755
27,189.4948690314042
28,177.68871749074836
29,170.313865260074
30,161.05394544099508
31,152.23458059210526
32,145.7728271484375
33,134.91374487625924
34,129.61467501991675
35,121.05321944387336
36,111.75131346050061
37,103.30259624280427
38,97.01255316483348
39,90.547069348787
40,80.67404295268811
41,72.98579487047698
42,66.76771023398952
43,59.58322926571495
44,52.87080142372533
45,47.29352910895096
46,39.17292705335115
47,32.3618480280826
48,25.86096281754343
49,19.855242678993626
50,14.470505011709113
51,9.605281854930677
52,6.301671806134675
53,4.984299157795153
54,4.83384370803833
55,4.830471164301822
56,4.829387037377608
57,4.828210504431474
58,4.82666382036711
59,4.825650616696007
60,4.825554571653667
61,4.82472008153012
62,4.82356616070396
63,4.824179373289409
64,4.825120298486007
65,4.824486029775519
66,4.8211586851822705
67,4.823042643697638
68,4.822330851303904
69,4.820927921094392
70,4.824482189981561
71,4.821090472371955
72,4.821559931102552
73,4.8211848359358935
74,4.817887532083612
75,4.820970786245246
76,4.822265850870233
77,4.8187744491978695
78,4.818925481093557
79,4.821350122752943
80,4.8184253291079875
81,4.818844845420436
82,4.818131773095382
83,4.818049230073628
84,4.817296128523977
85,4.817178299552516
86,4.81757738715724
87,4.815959704549689
88,4.816222492017244
89,4.814405993411415
90,4.817713034780402
91,4.819001825232255
92,4.813198566436768
93,4.813457463916979
94,4.815650789361251
95,4.813270970394737
96,4.818999566529927
97,4.813334038383083
98,4.814190613596063
99,4.815411015560753
100,4.813802141892283
101,4.810873659033525
102,4.8115013273138745
103,4.809280847248278
104,4.811711386630409
105,4.814497822209408
106,4.8129784935399105
107,4.812584751530697
108,4.819033120807848
109,4.810317340650056
110,4.809138900355289
111,4.810028402428878
112,4.809166406330309
113,4.8119912900422745
114,4.813384357251619
115,4.807872169896176
116,4.809704102967915
117,4.806114046197188
118,4.807009119736521
119,4.8127962664554
120,4.806925798717298
121,4.806204042936626
122,4.809639629564788
123,4.808375082517925
124,4.811798271379973
125,4.805800011283473
126,4.806994463268079
127,4.808368080540707
128,4.806288041566548
129,4.808879174684224
130,4.805585785915977
131,4.801493519230893
132,4.8036190334119295
133,4.806826516201622
134,4.806238952435945
135,4.806132366782741
136,4.80813485697696
137,4.801897048950195
138,4.803065450567948
139,4.803098026074861
140,4.80360201785439
141,4.803414495367753
142,4.802618804730867
143,4.802534705714176
144,4.801253042723003
145,4.801504285711991
146,4.8063461404097705
147,4.802816416087904
148,4.802950583006206
149,4.800277760154323
150,4.8036414949517505
