input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.7749411764705882,0.587953667953668,0.702551290786585,0.4877250409165303,0.6315149017540186,0.76,0.5910112359550562,0.10040694976574471,0.4213479055192245,0.3879062783923368,0.17746805843176372,hybrid_basic,0.1,1.0,10.0,,1.0,0.1,0.025758465752005577,0.0262567400932312,0.004955815616995096,0.05431107431650162,1.0,0.0,0.0,0.13093968343152773,results_w0/mode_hybrid_basic/setup3_pca_d_mod3_raw.png,results_w0/mode_hybrid_basic/setup3_pairwise_distance_raw.png,results_w0/mode_hybrid_basic/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7471428571428571,0.5752808988764044,,0.41274050047698757,0.3811155811094259,,hybrid_basic,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.8298823529411765,0.5841698841698841,0.7622832916950565,0.4844517184942717,0.6587052595730859,0.6821428571428572,0.26741573033707866,0.0695629359976867,0.4148091352506956,0.3885940338411666,0.0940001248408221,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.8058823529411765,0.6026254826254825,0.727988492694375,0.48936170212765956,0.6473490896120501,0.7685714285714286,0.6764044943820224,0.12187801538510623,0.4434329987477125,0.4273635970983065,0.1858394156265749,hybrid_basic,0.1,1.0,10.0,,1.0,0.1,0.018993932753801346,0.019185878336429596,0.0038864128291606903,0.06943593919277191,2.0,0.0,0.0,0.09968050647588596,results_w0/mode_hybrid_basic/setup3_pca_d_mod3_combat.png,results_w0/mode_hybrid_basic/setup3_pairwise_distance_combat.png,results_w0/mode_hybrid_basic/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7628571428571428,0.6696629213483146,,0.43492647252840405,0.41483743077333424,,hybrid_basic,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8476862745098038,0.6196293436293437,0.7492997198879552,0.4844517184942717,0.6579288978035084,0.7057142857142857,0.3550561797752809,0.0679692578595803,0.3990686789775347,0.37435702783165803,0.088654657705748,,,,,,,,,,,,,,,,,,
