input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.7963529411764706,0.5987644787644787,0.7271557271557273,0.4779050736497545,0.6478674590340083,0.6914285714285714,0.5483146067415731,0.1088970603372782,0.42396042590288374,0.39187030235882286,0.08311038071463749,rank_kendall,0.1,1.0,50.0,,1.0,0.1,0.9491759538650513,0.966292142868042,0.938410222530365,1.1552132368087769,128.0,128.0,128.0,0.07327054993605396,results_w0/sweep_alpha_50/setup3_pca_d_mod3_raw.png,results_w0/sweep_alpha_50/setup3_pairwise_distance_raw.png,results_w0/sweep_alpha_50/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.6671428571428571,0.6112359550561798,,0.3618467020326739,0.35335962723475806,,rank_kendall,0.1,1.0,50.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.803843137254902,0.5987953667953669,0.7656143538496479,0.4795417348608838,0.668996635805495,0.6342857142857142,0.33483146067415737,0.07952796841636134,0.4009623025660889,0.368005403980701,0.07162966921779436,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.8019607843137254,0.586069498069498,0.7445680975092739,0.4746317512274959,0.6488376222624899,0.7114285714285714,0.5662921348314607,0.049015989860982656,0.38425963622373716,0.38357483424267724,0.05274759793037977,rank_kendall,0.1,1.0,50.0,,1.0,0.1,0.936952531337738,0.9945293068885803,0.9141746759414673,1.2711906433105469,128.0,128.0,127.0,0.1002890856109018,results_w0/sweep_alpha_50/setup3_pca_d_mod3_combat.png,results_w0/sweep_alpha_50/setup3_pairwise_distance_combat.png,results_w0/sweep_alpha_50/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.6385714285714286,0.5280898876404494,,0.17353497204778343,0.2263771286196859,,rank_kendall,0.1,1.0,50.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8333333333333333,0.6162316602316602,0.7207964266787796,0.4664484451718494,0.6484577458358193,0.7,0.21123595505617979,0.0745987286059433,0.3957052456138603,0.36700872938588114,0.057768860492902474,,,,,,,,,,,,,,,,,,
