input_version,setup,cn_ad_auc,3class_acc,3class_macro_auc,mci_conv_auc,r2_d_mod3,pearson_d_mod3,alignment_spearman
raw,setup1,0.8634994656562712,0.49743589743589745,0.6566878156846665,0.5,0.1778461795729136,0.4618281713454936,
raw,setup2,0.6012824249489945,0.38974358974358975,0.5067489070881606,0.5119047619047619,-0.09378300554995245,,
raw,setup3,0.6500534343728748,0.44871794871794873,0.5678897230375117,0.5023809523809524,0.07225857951742742,0.31367762568549745,0.03927644689682852
combat,setup1,0.7926746332458954,0.46153846153846156,0.6271360820569679,0.49523809523809526,-0.07818887559015542,0.2978007003830132,
combat,setup2,0.6156611289225686,0.43333333333333335,0.5220623322634478,0.6047619047619048,-0.09120414715710479,,
combat,setup3,0.6225590206936752,0.4076923076923077,0.5336147352140334,0.5357142857142857,0.038204484093627644,0.25364387052658377,0.08882180482651228
