input_version,loss_mode,score_type,task,horizon_years,n_train,train_converters,n_test,test_converters,test_nonconverters,auc
combat,rank_kendall,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.647191011235955
combat,rank_kendall,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.469281045751634
combat,rank_kendall,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.6052287581699347
combat,rank_kendall,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5071895424836601
combat,rank_kendall,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.6052287581699347
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8681818181818183
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.7250000000000001
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.6842857142857144
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.6807142857142857
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.7545706371191135
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.749584487534626
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.732707509881423
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7104743083003953
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.46966292134831467
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.5752808988764044
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.4836601307189542
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.5477124183006536
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5058823529411764
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.5477124183006536
combat,rank_kendall_basic,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8727272727272728
combat,rank_kendall_basic,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.7659090909090909
combat,rank_kendall_basic,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.687857142857143
combat,rank_kendall_basic,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.7171428571428572
combat,rank_kendall_basic,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.7512465373961218
combat,rank_kendall_basic,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.7761772853185596
combat,rank_kendall_basic,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7262845849802372
combat,rank_kendall_basic,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7411067193675889
combat,rank_kendall_basic,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
combat,rank_kendall_basic,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
combat,rank_kendall_basic,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.5078651685393258
combat,rank_kendall_basic,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.5865168539325843
combat,rank_kendall_basic,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.4718954248366013
combat,rank_kendall_basic,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.5764705882352941
combat,rank_kendall_basic,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.4915032679738562
combat,rank_kendall_basic,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.5764705882352941
raw,hybrid,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8136363636363635
raw,hybrid,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.8431818181818183
raw,hybrid,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.7735714285714286
raw,hybrid,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.77
raw,hybrid,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.8260387811634349
raw,hybrid,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.817174515235457
raw,hybrid,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7934782608695652
raw,hybrid,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.783102766798419
raw,hybrid,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
raw,hybrid,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
raw,hybrid,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.6561797752808989
raw,hybrid,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.6449438202247191
raw,hybrid,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.5594771241830065
raw,hybrid,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.5673202614379085
raw,hybrid,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5516339869281046
raw,hybrid,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.5673202614379085
combat,hybrid,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8090909090909091
combat,hybrid,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.8363636363636364
combat,hybrid,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.7435714285714285
combat,hybrid,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.7442857142857142
combat,hybrid,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.8232686980609418
combat,hybrid,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.8044321329639889
combat,hybrid,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7687747035573123
