input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.45990180032733224,0.6100324148600236,0.6264285714285713,0.24044943820224718,0.05667737860061095,0.3766981130296147,0.33840706791516206,0.09952133573890615,,,,,,,,,,,,,,,,,
raw,setup3,0.8016862745098038,0.5705019305019305,0.7449844802785979,0.4746317512274959,0.6353009234466737,0.7492857142857142,0.6876404494382022,0.10850014581930478,0.43670664116805297,0.41054854718040257,0.16306023364982572,hybrid,1.0,1.0,4.0,1.0,1.0,0.027303587645292282,0.02878362499177456,0.01619414985179901,0.10170042514801025,22.0,1.0,0.0,0.07866795453122626,results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7485714285714286,0.6831460674157304,,0.4380260620729228,0.4138326018073243,,hybrid,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,
raw,setup4,0.8276078431372549,0.6091274131274131,0.7803770156711334,0.4795417348608838,0.6591815883957494,0.6664285714285715,0.5662921348314607,0.13739537102203458,0.4322173898567338,0.3958876190866999,0.09378053571105165,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.20224719101123598,0.03846202746765437,0.3364881530149269,0.3309324234107262,0.09127184302438816,,,,,,,,,,,,,,,,,
combat,setup3,0.8269019607843138,0.6025791505791506,0.7475584828526005,0.4795417348608838,0.6535991814115404,0.7549999999999999,0.6426966292134831,0.09306641796142523,0.43247662316931323,0.4147718275418885,0.1512614412681636,hybrid,1.0,1.0,4.0,1.0,1.0,0.02549956925213337,0.024908507242798805,0.015378959476947784,0.09881547838449478,18.0,0.0,0.0,0.16059155491232474,results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7385714285714285,0.6337078651685394,,0.3971999782940599,0.38705790813548463,,hybrid,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,
combat,setup4,0.8085882352941177,0.6009729729729729,0.7642137936255583,0.4713584288052373,0.6714749886437051,0.64,0.29438202247191014,0.15264326507685055,0.41990259276210884,0.40457444441112556,0.08049939647835934,,,,,,,,,,,,,,,,,
