epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.014800761421946319,2051.4074771278783,-0.014800761421946319,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
2,-0.02535242467236362,2045.5694708573192,-0.02535242467236362,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
3,-0.02931930122308825,2047.8760600842927,-0.02931930122308825,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
4,-0.03570335128001476,2096.309679533306,-0.03570335128001476,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
5,-0.0421728809413157,2123.5263993112662,-0.0421728809413157,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
6,-0.045386641825500285,2147.4719302528783,-0.045386641825500285,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
7,-0.04899641910665914,2124.960095857319,-0.04899641910665914,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
8,-0.05135226014413332,2167.2285541735196,-0.05135226014413332,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
9,-0.05312139384056393,2117.215736790707,-0.05312139384056393,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
10,-0.050386289036587664,2255.7903089021383,-0.050386289036587664,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
11,-0.058061890500156504,2292.246646278783,-0.058061890500156504,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
12,-0.06046768983728007,2323.2538934004933,-0.06046768983728007,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
13,-0.05410036724060774,2243.4267256887338,-0.05410036724060774,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
14,-0.06103100274738513,2308.7608449835525,-0.06103100274738513,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
15,-0.06404410400672962,2343.7461065995067,-0.06404410400672962,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
16,-0.06363169358749139,2478.1000848067433,-0.06363169358749139,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
17,-0.06756123390636946,2395.1228541324012,-0.06756123390636946,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
18,-0.06903654219288576,2294.6660284745067,-0.06903654219288576,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
19,-0.06616371164196416,2322.0903448807567,-0.06616371164196416,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
20,-0.06764377653598785,2430.4718981291117,-0.06764377653598785,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
21,-0.06704625408900411,2466.38671875,-0.06704625408900411,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
22,-0.0709441133627766,2344.8961374383225,-0.0709441133627766,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
23,-0.07249036078390322,2440.8178325452304,-0.07249036078390322,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
24,-0.06671821875007529,2501.3125,-0.06671821875007529,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
25,-0.07195135264804489,2472.877993935033,-0.07195135264804489,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
26,-0.07441700857720877,2492.443732010691,-0.07441700857720877,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
27,-0.07037130449163287,2513.4636615953946,-0.07037130449163287,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
28,-0.07250808885222987,2558.5381887335525,-0.07250808885222987,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
29,-0.06945030999026801,2519.090576171875,-0.06945030999026801,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
30,-0.07661798694416096,2614.4592156661183,-0.07661798694416096,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
31,-0.07740698245010878,2591.0159462376646,-0.07740698245010878,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
