input_version,setup,cn_ad_auc,3class_acc,3class_macro_auc,mci_conv_auc,r2_d_mod3,pearson_d_mod3,alignment_spearman
raw,setup1,0.8632080054405906,0.49743589743589745,0.6567107441458839,0.5,0.17774837212980488,0.4617333304225948,
raw,setup2,0.7911201787622657,0.43846153846153846,0.5773706692315522,0.44285714285714284,-0.07713585419498181,,
raw,setup3,0.7983095307490528,0.4846153846153846,0.6409281944206532,0.4571428571428572,-0.10927114446440522,0.32194081599232516,0.0756636821729655
raw,setup4,0.7921888662197609,0.40512820512820513,0.5716820311481569,0.4619047619047619,-0.07769371631666844,,
combat,setup1,0.792868940056349,0.46153846153846156,0.6272028596358631,0.49523809523809526,-0.07856127864506002,0.29761162936941227,
combat,setup2,0.7409890216652094,0.4153846153846154,0.5296809105449948,0.5595238095238095,-0.07621392528001647,,
combat,setup3,0.7945205479452054,0.4128205128205128,0.5774875258135918,0.6452380952380952,-0.14583688350248325,0.30670148517694906,-0.024873374477250902
combat,setup4,0.7479840668415428,0.4128205128205128,0.545248473484774,0.5880952380952381,-0.06871494283581492,,
