epoch,loss
1,905.3323233468192
2,787.0474591936384
3,739.280051095145
4,704.5147051130023
5,672.2466430664062
6,643.7897818429129
7,619.1987217494419
8,594.0745021275112
9,567.868390764509
10,539.0214429582868
11,511.54906790597096
12,483.75728280203685
13,454.4344242640904
14,438.5623234340123
15,416.74053737095426
16,404.2084415980748
17,388.31788635253906
18,366.97225298200334
19,360.5886906215123
20,348.4520045689174
21,339.4605473109654
22,320.135506766183
23,307.1702575683594
24,301.12328665597096
25,288.4856284005301
26,277.580203465053
27,266.43369838169644
28,260.9005214146205
29,248.67613547188895
30,241.93406350272042
31,232.26845223563058
32,223.11506870814733
33,215.1481693812779
34,203.09913853236608
35,196.1206566946847
36,185.44079807826452
37,175.11241803850447
38,168.2034181867327
39,159.3700681413923
40,154.8971677507673
41,144.2135887145996
42,137.46059363228935
43,125.74993460518974
44,120.11554282052177
45,113.17534691946847
46,103.82675225394112
47,97.15338134765625
48,89.18941116333008
49,83.03412355695453
50,74.21949250357491
51,67.91176196507045
52,61.21112278529576
53,55.20229639325823
54,50.12578310285296
55,43.24845150538853
56,37.195871353149414
57,31.923362731933594
58,26.096570696149552
59,20.93511806215559
60,15.770513262067523
61,11.668658937726702
62,8.084082773753575
63,5.843476329530988
64,4.904752254486084
65,4.770679320607867
66,4.765491996492658
67,4.764397382736206
68,4.763593435287476
69,4.761240993227277
70,4.759374329021999
71,4.761165942464556
72,4.75822639465332
73,4.758524673325675
74,4.754270740917751
75,4.755518640790667
76,4.757223572049822
77,4.7536933932985574
78,4.754106794084821
79,4.75117039680481
80,4.751853176525661
81,4.752762062208993
82,4.7526025261197775
83,4.752288034984043
84,4.751229592732021
85,4.751005019460406
86,4.75414902823312
87,4.748798642839704
88,4.747208118438721
89,4.747567347117832
90,4.746749843869891
91,4.7440196956907
92,4.741915907178607
93,4.744960580553327
94,4.745642151151385
95,4.747832349368504
96,4.74056168964931
97,4.7408329248428345
98,4.7405563082013815
99,4.7432374613625665
100,4.738440343311855
101,4.736518059458051
102,4.738773192678179
103,4.7358050516673496
104,4.740647894995553
105,4.735130275998797
106,4.736683011054993
107,4.739424756595066
108,4.734971506255014
109,4.733224596296038
110,4.747342586517334
111,4.742763723645892
112,4.736706563404629
113,4.7273112535476685
114,4.728763818740845
115,4.735394716262817
116,4.724904077393668
117,4.7295407227107455
118,4.727481058665684
119,4.742838144302368
120,4.730258056095669
121,4.7243031944547385
122,4.729801961353847
123,4.7383566073008945
124,4.724014435495649
125,4.72441451890128
126,4.741900307791574
127,4.720463718686785
128,4.724493895258222
129,4.724902663912092
130,4.734334741319929
131,4.729112505912781
132,4.7227093151637485
133,4.7182391200746805
134,4.725036178316389
135,4.7146545478275845
136,4.723372680800302
137,4.727892143385751
138,4.721490144729614
139,4.7180047035217285
140,4.71728161403111
141,4.7171324491500854
142,4.711396183286395
143,4.7096725191388815
144,4.7189255612237115
145,4.729460120201111
146,4.7183902604239325
147,4.730978676251003
148,4.7353156464440485
149,4.714172141892569
150,4.71452602318355
