epoch,loss,yaware_loss,uniformity_loss
1,313.30855778285434,327.12406975882396,-27.63102149963379
2,10.402324335915702,24.217834881373815,-27.63102149963379
3,0.3186558314732143,11.5263090133667,-22.41530636378697
4,0.19867873191833496,9.986217260360718,-19.575077056884766
5,0.18659237452915736,9.506087848118373,-18.63899094717843
6,-0.04708095959254673,9.093096222196307,-18.280354363577707
7,0.039622988019670756,9.271240983690534,-18.463235991341726
8,0.10994519506181989,9.106945548738752,-17.994000707353866
9,-0.0690629141671317,9.026994160243444,-18.19211414882115
10,0.01981980460030692,9.195602144513812,-18.35156467982701
11,-0.0011230196271623885,9.223526000976562,-18.44929804120745
12,0.14337335314069474,9.250056879861015,-18.21336705344064
13,-0.11701158114842006,9.143578699656896,-18.52118056161063
14,-0.007737295968191964,9.063477652413505,-18.142429896763392
15,-0.074925354548863,9.007963316781181,-18.165777342660085
16,0.04831348146711077,9.120196410587855,-18.14376585824149
17,-0.07510737010410853,9.18344143458775,-18.51709760938372
18,-0.2154127529689244,9.164815698351179,-18.760456902640207
19,0.2303124495915004,9.33239824431283,-18.204171589442662
20,-0.10136675834655762,9.035866567066737,-18.27446665082659
21,-0.0666578837803432,8.98830236707415,-18.109920501708984
22,-0.10365050179617745,9.057623386383057,-18.32254777635847
23,-0.19086330277579172,9.005680254527501,-18.393087114606583
24,0.28359903608049664,9.511371340070452,-18.45554460797991
25,-0.06377870695931571,9.116072075707573,-18.359701565333776
26,-0.03699244771684919,9.174128293991089,-18.422241483415878
27,0.07208776473999023,9.216983454568046,-18.289791379656112
28,-0.25732217516217915,9.056166035788399,-18.62697642190116
29,-0.06587535994393486,9.12004406111581,-18.37183884211949
30,-0.029330594199044362,9.298191274915423,-18.655043738228933
31,-0.3895267759050642,9.089671884264265,-18.95839732033866
32,-0.2219665391104562,9.262779712677002,-18.969492503574916
33,-0.06049769265311105,9.447500501360212,-19.015996388026647
34,-0.13089936120169504,9.41058247429984,-19.082963671003068
35,-0.045012405940464566,9.458899361746651,-19.007823535374232
36,-0.0674269539969308,9.44564948763166,-19.026152883257186
37,-0.03165667397635324,9.546534402029854,-19.156382152012416
38,-0.3710141522543771,9.252625022615705,-19.247278349740164
39,-0.3091343470982143,9.348677703312465,-19.31562410082136
40,0.1263563973563058,9.643469742366246,-19.03422669001988
41,-0.00531489508492606,9.545295442853655,-19.101220675877162
42,-0.23308665411812918,9.155802794865199,-18.77777889796666
43,-0.3485919407435826,9.328889165605817,-19.3549622126988
44,-0.36614813123430523,9.35235323224749,-19.437002726963588
45,0.11115152495247978,9.582731281008039,-18.94315951211112
46,-0.14743382590157644,9.360583169119698,-19.01603399004255
47,-0.2561909130641392,9.371699741908483,-19.25578130994524
48,-0.3626013823917934,9.3931770665305,-19.51155689784459
49,-0.22786494663783483,9.66771582194737,-19.79116153717041
50,-0.053444930485316684,9.66858972821917,-19.44406931740897
51,-0.16185733250209264,9.405720574515206,-19.135155814034597
52,-0.25356245040893555,9.472142696380615,-19.4514102935791
53,-0.33191115515572683,9.521920680999756,-19.707663672310964
54,-0.2922647339957101,9.4165712084089,-19.41767188480922
55,-0.3809375422341483,9.481794731957573,-19.72546454838344
56,-0.3705744743347168,9.601333618164062,-19.94381618499756
57,-0.4342665672302246,9.535927159445626,-19.9403874533517
58,-0.6028522082737514,9.606867109026227,-20.41943863459996
59,-0.3171334947858538,9.89696570805141,-20.428198405674525
60,-0.14887360164097377,9.989804063524518,-20.277355330330984
61,-0.22625248772757395,9.901481969015938,-20.255468913487025
62,-0.3606341566358294,9.544107062476021,-19.809482438223704
63,-0.5169988359723773,9.44766480582101,-19.929327283586776
64,-0.2955922399248396,9.69687741143363,-19.984939302716935
65,-0.5283095496041434,9.803331988198417,-20.66328307560512
66,-0.3994940349033901,9.890166282653809,-20.579320635114396
67,-0.4847990444728306,9.79362780707223,-20.556853703090123
68,-0.305046694619315,9.830204827444893,-20.270503044128418
69,-0.5129735129220145,9.880743912288121,-20.787434850420272
70,-0.16005924769810267,10.015788418906075,-20.351695333208358
71,-0.34855529240199495,9.818438461848668,-20.333987508501327
72,-0.41435820715767996,9.749965122767858,-20.328646659851074
73,-0.6287733146122524,9.641502823148455,-20.540552275521414
74,-0.19177402768816268,9.90675789969308,-20.197063854762487
75,-0.22921126229422434,9.941682815551758,-20.341788155691965
76,-0.004010336739676339,9.962713718414307,-19.933448110307967
77,-0.4454395089830671,9.438804115567889,-19.768487249101913
78,-0.4897012029375349,9.50840527670724,-19.99621295928955
79,-0.36385747364589144,9.687986237662178,-20.10368742261614
