epoch,loss,yaware_loss,uniformity_loss
1,308.4803810119629,322.2958932604109,-27.63102149963379
2,10.970705577305385,24.698294707706996,-27.455178669520787
3,0.6471761294773647,11.964860030582972,-22.635367802211217
4,0.46128906522478375,10.232267924717494,-19.541957718985422
5,0.27452475684029715,9.681446211678642,-18.813842909676687
6,0.06487938335963658,9.112286601747785,-18.094814436776296
7,0.04918949944632394,8.963007995060511,-17.827636991228378
8,-0.07334463936941964,9.09293338230678,-18.3325560433524
9,0.0236945492880685,9.127664123262678,-18.20793914794922
10,-0.0737670830317906,9.181324311665126,-18.510182789393834
11,-0.01395453725542341,9.235952002661568,-18.499813079833984
12,-0.19269626481192453,9.19040846824646,-18.76620946611677
13,0.15498733520507812,9.371060984475273,-18.43214729854039
14,0.06742191314697266,9.231508595602852,-18.32817336491176
15,-0.10003273827689034,9.189126968383789,-18.57831941332136
16,0.09904616219656807,9.311920915331159,-18.42574950626918
17,0.407498904636928,9.305655411311559,-17.79631301334926
18,0.10502379281180245,9.087632179260254,-17.965216772896902
19,0.09589770862034389,9.08501764706203,-17.97823987688337
20,0.04691318103245327,9.040923970086235,-17.98802157810756
21,-0.014690501349312919,8.942040954317365,-17.913462911333358
22,-0.11556853566850935,8.970046486173358,-18.17123004368373
23,-0.2456230436052595,8.903976099831718,-18.299198286873953
24,0.06314577375139509,9.221227782113212,-18.316164016723633
25,-0.10651608875819615,9.031589984893799,-18.27621214730399
26,0.002402918679373605,9.102012770516533,-18.199219703674316
27,0.04693634169442313,9.0549567426954,-18.016040802001953
28,-0.18295982905796596,8.912610122135707,-18.191139902387345
29,0.07174440792628697,9.094011204583305,-18.044533593314036
30,-0.35193913323538645,9.041656766619,-18.787191799708776
31,-0.3459373882838658,9.194343226296562,-19.080561229160853
32,-0.08533552714756557,9.520872252328056,-19.212415558951243
33,-0.11315318516322545,9.375081198556083,-18.976468767438615
34,0.07354964528764997,9.492267165865217,-18.837435041155135
35,-0.16508569036211287,9.29246483530317,-18.915101051330566
36,-0.26511549949645996,9.337364094597953,-19.204959188188827
37,0.27405708176749094,9.676828861236572,-18.80554355893816
38,-0.30944395065307617,9.260075432913643,-19.13903876713344
39,0.10061318533761161,9.515736171177455,-18.830245971679688
40,0.1373908179146903,9.609490598951067,-18.944199562072754
41,-0.33372276169913156,9.251594577516828,-19.17063467843192
42,-0.34763973099844797,9.171776737485613,-19.038832936968124
43,-0.2964709826878139,9.319893700735909,-19.232729366847447
44,-0.310288599559239,9.345179796218872,-19.310936791556223
45,-0.5555210113525391,9.380103588104248,-19.871249198913574
46,-0.2711797441755022,9.50491462435041,-19.55218873705183
47,-0.3872154099600656,9.544072696140834,-19.862576212201798
48,0.10485598019191197,9.800923109054565,-19.392134257725306
49,-0.1158362797328404,9.564182009015765,-19.36003657749721
