input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,
raw,setup2,0.558078431372549,0.5108416988416988,0.5239230827466121,0.3960720130932897,0.5176150900447308,0.6021428571428571,0.7033707865168539,0.013664308467416286,0.21884489280433214,0.198632959126609,0.04699486465717093,,,,,,,,,,,,,,,,,
raw,setup3,0.7227450980392157,0.5485714285714285,0.6709819062760239,0.44680851063829785,0.6011161134933412,0.4871428571428571,0.42247191011235957,0.07222641085265524,0.3540301814792939,0.32058158027504957,0.04217869615447902,rank_kendall,1.0,1.0,4.0,1.0,1.0,1.1700671911239624,1.220971703529358,1.1165978908538818,1.7172600030899048,256.0,256.0,255.0,0.07690319077914227,results_smoke_rank_kendall/setup3_pca_d_mod3_raw.png,results_smoke_rank_kendall/setup3_pairwise_distance_raw.png,results_smoke_rank_kendall/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.5414285714285714,0.7707865168539325,,0.11503558536315973,0.11777416179640272,,rank_kendall,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,
raw,setup4,0.63,0.5340540540540539,0.533424180483004,0.40589198036006546,0.5279231641518662,0.3971428571428572,0.49213483146067416,-0.07383315332015461,0.22739168843051652,0.24531352505049134,0.03881145805052787,,,,,,,,,,,,,,,,,
