input_version,setup,n_seeds,cn_ad_auc_mean,cn_ad_auc_std,cn_mci_cls_auc_mean,cn_mci_cls_auc_std,mci_ad_cls_auc_mean,mci_ad_cls_auc_std,3class_acc_mean,3class_acc_std,3class_macro_auc_mean,3class_macro_auc_std,r2_d_mod3_mean,r2_d_mod3_std,pearson_d_mod3_mean,pearson_d_mod3_std,spearman_d_mod3_mean,spearman_d_mod3_std,z_std_test_mean,z_std_test_std,z_active_dims_005_mean,z_active_dims_005_std,mci_conv_auc_mean,mci_conv_auc_std,cn_mci_conv_auc_mean,cn_mci_conv_auc_std,alignment_spearman_mean,alignment_spearman_std
combat,dx_pretrain_setup3,5,0.8430745098039216,0.003944404102224474,0.6204169884169884,0.006108737746323385,0.7460973578620638,0.005534734655247878,0.5057283142389526,0.010917892032836616,0.6703860088016571,0.0025027007750292587,0.121122464651756,0.015541918617535695,0.41694971582165696,0.011141892264929495,0.3817896793017333,0.01409139539084658,0.8839776635169982,0.04310220708028688,256.0,0.0,0.7414565826330533,0.013419091951824622,0.4377777777777778,0.05369731762796869,,
combat,dx_pretrain_setup4,5,0.8072235294117647,0.025469711225825704,0.612565250965251,0.008601329459591913,0.7404648345824818,0.014474263480536228,0.49230769230769234,0.025523520379205144,0.6607217774577818,0.01768517348642942,0.11542654939276678,0.05085546346175385,0.4223998855979428,0.01856468111281263,0.3966405253308965,0.016120152783730347,,,,,0.7383753501400561,0.037547031814961815,0.4185185185185185,0.03893295563264564,0.05417565357285089,0.00645130695663696
raw,dx_pretrain_setup3,5,0.8312627450980393,0.005659939014700995,0.6053127413127413,0.005527102210226881,0.7567416155651451,0.0068779289965118185,0.4962356792144026,0.0077977932894085665,0.6635997813536901,0.0050103863394795915,0.13480140432785565,0.011837272948575795,0.43051704542927965,0.010125470832930755,0.38937319189971076,0.010624758487107094,0.8843054294586181,0.0348411951014425,256.0,0.0,0.7397759103641457,0.008712790484591448,0.49407407407407417,0.05675253721297172,,
raw,dx_pretrain_setup4,5,0.808470588235294,0.013382119512436555,0.5961976833976834,0.01267918584534314,0.7442577030812325,0.020574955326253034,0.48085106382978726,0.0039074750855362834,0.6534722303077806,0.011068760229322546,0.10364535900007801,0.06563792231143842,0.41717510333681745,0.02307364969975254,0.3899908513216131,0.021893674224320696,,,,,0.6798319327731093,0.0234484066462298,0.35703703703703704,0.010670266882139196,0.051398927095186765,0.010795915287398213
