config,result_dir,input_version,setup,task,auc,ci_lo,ci_hi,test_converters
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.7549999999999999,0.6190178571428572,0.8686264644746786,14
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.7471428571428571,0.6127922077922078,0.8603178146258503,14
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.6808988764044944,0.5121376811594203,0.868500830564784,5
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.6921348314606741,0.5091575091575091,0.8829761904761905,5
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.72,0.5524901753170867,0.867991807299843,14
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7092857142857143,0.5365807651760321,0.8560858936101655,14
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.5573033707865169,0.2363477105231364,0.8566545893719804,5
hybrid_a20_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.5932584269662922,0.26086956521739135,0.887301587301587,5
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.7471428571428571,0.6066167983814024,0.8705412223914699,14
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.74,0.6039631289586281,0.8636811496683648,14
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.7123595505617977,0.5387393162393163,0.8905279503105589,5
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.6966292134831461,0.4872282608695653,0.9124223602484471,5
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.7371428571428571,0.5671899957572126,0.8820302367968369,14
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7314285714285714,0.556341162550321,0.8795747920380271,14
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.6629213483146068,0.43039874551971324,0.9139784946236559,5
