config,input_version,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,centroid_alignment_spearman,z_std_test,z_active_dims_005
euclidean,raw,0.7932549019607843,0.59403861003861,0.7108789461730639,0.6347419795575425,0.7685714285714286,0.6741573033707865,0.1492106033718649,0.456149306305199,0.4287359514651827,0.1695176282492983,0.0847741581137834,0.0298275928944349,25.0
euclidean,combat,0.8186666666666667,0.6024401544401543,0.7389658566129155,0.655776028255722,0.7178571428571429,0.6022471910112359,0.1213918191892842,0.4373472255626676,0.4168062116317108,0.1621949317568503,0.1574778477300072,0.0243324320763349,16.0
hybrid_a10_l1,raw,0.7927058823529413,0.5722934362934363,0.7390794155500038,0.6334662678580828,0.7535714285714286,0.6764044943820224,0.1055860733674267,0.4333376460952062,0.4123920663755293,0.1603433692144474,0.0817067467162873,0.0273108966648578,12.0
hybrid_a10_l1,combat,0.8321568627450979,0.6090656370656371,0.7507381330910742,0.6599450187647943,0.7542857142857142,0.696629213483146,0.1058818113260224,0.4405350793872847,0.4232753636454984,0.1633848877683283,0.1532605121681631,0.0264536403119564,16.0
rank_kendall_a4,raw,0.8084705882352942,0.5971428571428572,0.75721099250511,0.6597257925209166,0.7064285714285714,0.5011235955056179,0.0941925951955942,0.4225087860104751,0.392843145146229,0.0829773136991724,0.058744247880258,0.940214216709137,256.0
rank_kendall_a4,combat,0.8266274509803923,0.5937760617760618,0.774282686047392,0.6594020015990926,0.7264285714285714,0.6134831460674157,0.0772411418610566,0.4173134162133031,0.3958411654753393,0.0647316950626456,0.070802405907763,0.9945342540740968,256.0
