run_set,stage,method,CN_to_MCI_y2,CN_to_MCI_y3,CN_to_MCI_y4,MCI_to_AD_y2,MCI_to_AD_y3,MCI_to_AD_y4
budget20_eff128,direct_full_downstream,direct_full_downstream,0.6436363636363637,0.5333333333333333,0.4478114478114477,0.7352941176470588,0.7055921052631579,0.6205533596837945
budget20_eff128,direct_lora_downstream,direct_lora_downstream,0.6690909090909091,0.3861111111111111,0.4006734006734006,0.623249299719888,0.6858552631578947,0.6166007905138341
budget20_eff128,frozen_feature,contrastive_euclidean_finetune,0.3818181818181818,0.5,0.303030303030303,0.5434173669467788,0.7171052631578947,0.6442687747035574
budget20_eff128,frozen_feature,contrastive_euclidean_probe,0.4,0.4333333333333333,0.3703703703703703,0.5420168067226891,0.6973684210526316,0.6205533596837944
budget20_eff128,frozen_feature,contrastive_euclidean_s,0.5127272727272727,0.475,0.4747474747474747,0.4201680672268907,0.3947368421052631,0.4347826086956521
budget20_eff128,frozen_feature,contrastive_hybrid_basic_finetune,0.3527272727272727,0.538888888888889,0.3973063973063973,0.5154061624649859,0.6776315789473684,0.6067193675889329
budget20_eff128,frozen_feature,contrastive_hybrid_basic_probe,0.3854545454545455,0.3666666666666667,0.3063973063973064,0.5056022408963585,0.6480263157894737,0.5434782608695652
budget20_eff128,frozen_feature,contrastive_hybrid_basic_s,0.6654545454545455,0.5972222222222222,0.6195286195286195,0.5392156862745098,0.6151315789473684,0.5553359683794467
budget20_eff128,frozen_feature,contrastive_rank_kendall_basic_finetune,0.3672727272727273,0.5694444444444444,0.3198653198653199,0.6260504201680672,0.7450657894736843,0.7075098814229249
budget20_eff128,frozen_feature,contrastive_rank_kendall_basic_probe,0.4581818181818182,0.4666666666666667,0.3434343434343434,0.6330532212885154,0.7549342105263157,0.7252964426877472
budget20_eff128,frozen_feature,contrastive_rank_kendall_basic_s,0.6909090909090909,0.6222222222222222,0.6228956228956228,0.6666666666666666,0.7664473684210527,0.7055335968379447
budget20_eff128,frozen_feature,contrastive_regress_d_finetune,0.4218181818181818,0.5277777777777778,0.3468013468013468,0.6050420168067228,0.7516447368421052,0.6857707509881423
