run_set,stage,method,CN_MCI_AD,CN_vs_AD,CN_vs_MCI,MCI_vs_AD
budget20_eff128,direct_full_downstream,direct_full_downstream,0.6975822630816717,0.8958039215686274,0.6021776061776063,0.769399651752593
budget20_eff128,direct_lora_downstream,direct_lora_downstream,0.7003769452868696,0.904235294117647,0.5967876447876448,0.7926792338557044
budget20_eff128,frozen_feature,baseline_raw,0.6605365960924287,0.8600392156862745,0.5767413127413128,0.7616019380725263
budget20_eff128,frozen_feature,contrastive_euclidean_probe,0.6356426557154489,0.7683921568627451,0.5848494208494208,0.7049360284654402
budget20_eff128,frozen_feature,contrastive_euclidean_s,,0.5301568627450981,0.5293745173745174,0.4989022636081459
budget20_eff128,frozen_feature,contrastive_hybrid_basic_probe,0.6213950464824728,0.7425882352941177,0.5753822393822394,0.6811643576349459
budget20_eff128,frozen_feature,contrastive_hybrid_basic_s,,0.6460784313725491,0.4904092664092663,0.6577333636157165
budget20_eff128,frozen_feature,contrastive_rank_kendall_basic_probe,0.6466993161317854,0.7693333333333333,0.5905328185328185,0.7234839881898705
budget20_eff128,frozen_feature,contrastive_rank_kendall_basic_s,,0.739764705882353,0.5458069498069498,0.7144371262018322
budget20_eff128,frozen_feature,contrastive_regress_d_probe,0.6349352003739045,0.7732549019607843,0.5673204633204633,0.7107653872359755
budget20_eff128,frozen_feature,contrastive_regress_d_s,,0.771843137254902,0.5505637065637066,0.7312059959118783
budget20_eff128,frozen_feature,ridge_dhat_all,,0.8257647058823531,0.5992123552123552,0.7447573624044213
budget20_eff128,frozen_feature,ridge_dhat_finetune,,0.8257647058823531,0.5992123552123552,0.7447573624044213
budget20_eff128,lora_euclidean,baseline_raw,0.66015695032645,0.859686274509804,0.5764787644787646,0.7617912029676736
budget20_eff128,lora_euclidean,contrastive_euclidean_probe,0.645475254705061,0.8025490196078432,0.5882471042471042,0.7309031720796427
budget20_eff128,lora_euclidean,contrastive_euclidean_s,,0.6032941176470588,0.5952432432432433,0.5092739798622152
budget20_eff128,lora_euclidean,contrastive_hybrid_basic_probe,0.6223636155003124,0.7755294117647059,0.5800617760617761,0.6982360511772276
budget20_eff128,lora_euclidean,contrastive_hybrid_basic_s,,0.7645882352941177,0.5771428571428571,0.6834355363767128
budget20_eff128,lora_euclidean,contrastive_rank_kendall_basic_probe,0.6586911070690872,0.8037647058823529,0.5942702702702702,0.7530093118328414
budget20_eff128,lora_euclidean,contrastive_rank_kendall_basic_s,,0.7634509803921569,0.5675984555984557,0.701377848436672
budget20_eff128,lora_euclidean,contrastive_regress_d_probe,0.6557871987091478,0.808235294117647,0.588046332046332,0.7519494284200167
budget20_eff128,lora_euclidean,contrastive_regress_d_s,,0.7898039215686274,0.5888030888030888,0.715610568551745
budget20_eff128,lora_euclidean,ridge_dhat_all,,0.8257254901960785,0.5992586872586871,0.7447952153834506
budget20_eff128,lora_euclidean,ridge_dhat_finetune,,0.8257254901960785,0.5992586872586871,0.7447952153834506
budget20_eff128,lora_hybrid_basic,baseline_raw,0.6441187587422889,0.801843137254902,0.5748571428571428,0.750548868195927
budget20_eff128,lora_hybrid_basic,contrastive_euclidean_probe,0.5794796597249031,0.7018039215686275,0.5424092664092663,0.6500870618517677
budget20_eff128,lora_hybrid_basic,contrastive_euclidean_s,,0.3084705882352941,0.4522625482625483,0.360246801423272
budget20_eff128,lora_hybrid_basic,contrastive_hybrid_basic_probe,0.5822535173986693,0.7092941176470589,0.5434440154440154,0.655500037852979
budget20_eff128,lora_hybrid_basic,contrastive_hybrid_basic_s,,0.7142745098039216,0.5463474903474903,0.6589825119236883
budget20_eff128,lora_hybrid_basic,contrastive_rank_kendall_basic_probe,0.6319483423795427,0.765686274509804,0.5629498069498069,0.7350291467938526
budget20_eff128,lora_hybrid_basic,contrastive_rank_kendall_basic_s,,0.709843137254902,0.5511660231660233,0.6572034219093043
budget20_eff128,lora_hybrid_basic,contrastive_regress_d_probe,0.6156325379881421,0.759686274509804,0.5524015444015444,0.7198879551820728
budget20_eff128,lora_hybrid_basic,contrastive_regress_d_s,,0.7490980392156862,0.5503629343629344,0.6961541373306079
