input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.45990180032733224,0.6100324148600236,0.6264285714285713,0.24044943820224718,0.05667737860061095,0.3766981130296147,0.33840706791516206,0.09952133573890615,,,,,,,,,,,,,,,,,
raw,setup3,0.8084705882352942,0.5971428571428572,0.75721099250511,0.486088379705401,0.6597257925209166,0.7064285714285714,0.5011235955056179,0.0941925951955942,0.4225087860104751,0.392843145146229,0.08297731369917245,rank_kendall,1.0,1.0,4.0,1.0,1.0,0.9228764176368713,0.940214216709137,0.9128382205963135,1.1242352724075317,256.0,256.0,256.0,0.05874424788025806,results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.6785714285714286,0.5662921348314607,,0.34986036413974253,0.3407559680790564,,rank_kendall,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,
raw,setup4,0.8058823529411765,0.6107335907335907,0.7687561511090923,0.4828150572831424,0.6553499383287694,0.5064285714285715,0.5101123595505619,0.11678448061455371,0.4175735831022106,0.3852807813044995,0.06193926321327882,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.20224719101123598,0.03846202746765437,0.3364881530149269,0.3309324234107262,0.09127184302438816,,,,,,,,,,,,,,,,,
combat,setup3,0.8266274509803923,0.5937760617760618,0.774282686047392,0.4762684124386252,0.6594020015990926,0.7264285714285714,0.6134831460674157,0.07724114186105668,0.41731341621330315,0.3958411654753393,0.06473169506264562,rank_kendall,1.0,1.0,4.0,1.0,1.0,0.9643644690513611,0.9945342540740967,0.9580236673355103,1.1208035945892334,256.0,256.0,256.0,0.070802405907763,results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7464285714285714,0.6696629213483146,,0.3388339638397957,0.37520871244583265,,rank_kendall,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,
combat,setup4,0.8364705882352941,0.6035057915057915,0.7692482398364751,0.48936170212765956,0.6772234091842222,0.5592857142857143,0.3168539325842697,0.05886876871592195,0.406370402292254,0.3756456289150846,0.05253122751842104,,,,,,,,,,,,,,,,,
