epoch,loss
1,5.001352633748736
2,4.779598866190229
3,4.772799968719482
4,4.771312492234366
5,4.770103233201163
6,4.770168202263968
7,4.7695495060512
8,4.769509860447475
9,4.769512125423977
10,4.76969609941755
11,4.769388897078378
12,4.768590773854937
13,4.76864881174905
14,4.768688235964094
15,4.768424102238247
16,4.768619026456561
17,4.768177543367658
18,4.7679004328591486
19,4.76773384639195
20,4.767983726092747
21,4.767621278762817
22,4.768093551908221
23,4.767406276294163
24,4.767252819878714
25,4.76737550326756
26,4.766723053795951
27,4.766828826495579
28,4.766108598027911
29,4.765079464231219
30,4.76517561503819
31,4.764233776501247
32,4.764413748468671
33,4.763513241495405
34,4.763389348983765
35,4.761350291115897
36,4.760421872138977
37,4.760642494474139
38,4.759138413837978
39,4.757226773670742
40,4.7544911078044345
41,4.748689719608852
42,4.748172691890171
43,4.752700311797006
44,4.748778751918247
45,4.748700363295419
46,4.757985421589443
47,4.748558282852173
48,4.737530214445932
49,4.729296428816659
50,4.740297811371939
51,4.737430317061288
52,4.730941074235099
53,4.734523415565491
54,4.735662545476641
55,4.727572986057827
56,4.72330345426287
57,4.736693348203387
58,4.724199976239886
59,4.718557783535549
60,4.738047310284206
61,4.726351755005973
62,4.711742281913757
63,4.719946418489728
64,4.711720739092145
65,4.717468840735299
66,4.715294395174299
67,4.718560712678092
68,4.711922253881182
69,4.714464902877808
70,4.713890995298113
71,4.709607005119324
72,4.694506662232535
73,4.6981631347111295
74,4.691701463290623
75,4.68683317729405
76,4.699459263256618
77,4.6997798681259155
78,4.68772896698543
79,4.690505129950387
80,4.694641011101859
81,4.685169083731515
82,4.696579217910767
83,4.72315103667123
84,4.682888763291495
85,4.700910074370248
86,4.684752855982099
87,4.67656147480011
88,4.672953299113682
89,4.671261310577393
90,4.682262250355312
91,4.680568286350796
92,4.677423698561532
93,4.676969153540475
94,4.678233078547886
95,4.697529486247471
96,4.675170029912676
97,4.659480486597333
98,4.666346345629011
99,4.66449202810015
100,4.676973274775913
101,4.6638297864368985
102,4.6557442631040304
103,4.657907451902117
104,4.664402297564915
105,4.64598206111363
106,4.665476935250418
107,4.658956612859454
108,4.6720868689673285
109,4.656582355499268
110,4.6631350346973965
111,4.713588680539813
112,4.670176233564105
113,4.65527309690203
114,4.680890917778015
115,4.663357564381191
116,4.638344594410488
117,4.636521594864981
118,4.6436744928359985
119,4.649852667536054
120,4.647887825965881
121,4.629155329295567
122,4.62609647001539
123,4.650023920195443
124,4.645063996315002
125,4.660925388336182
126,4.6554324967520575
127,4.648426021848406
128,4.64229028565543
129,4.65392872265407
130,4.629890203475952
131,4.655955536024911
132,4.6488864081246515
133,4.610676969800677
134,4.623454689979553
135,4.611438870429993
136,4.63029818875449
137,4.628386378288269
138,4.630487833704267
139,4.620292016438076
140,4.660426003592355
141,4.639417801584516
142,4.626155938420977
143,4.620684964316232
144,4.62236441884722
145,4.621322853224618
146,4.615634134837559
147,4.631660393306187
148,4.647335393088205
149,4.61086198261806
150,4.607301899365017
