method,input_version,task,horizon_years,n,n_converters,n_nonconverters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_days,pearson_score_neg_days,spearman_score_neg_days
oracle_true_d_mod3,combat,MCI_to_AD_1y,1,85,4,81,0.6697530864197532,0.3766033349366683,0.9457831325301205,0.02227666545336352,-0.2377645502645503,0.3132530120481928,0.8882101405009163,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_1y,1,85,4,81,0.7438271604938271,0.5476190476190476,0.9642857142857143,0.09928343837573195,-0.08638211382113817,0.2710843373493976,0.25412339645693344,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_2y,2,65,14,51,0.6834733893557423,0.5277515723270441,0.8218259485612427,,,,,,,
ridge_d_hat,combat,MCI_to_AD_2y,2,65,14,51,0.7717086834733894,0.6190436507936509,0.8977600946038793,0.08879390290911253,-0.02414866765971523,0.2149177242752271,0.1368,,,
oracle_true_d_mod3,combat,MCI_to_AD_2y,2,65,14,51,0.6624649859943977,0.49881688047559447,0.8108755641521599,-0.020781935207373176,-0.18639053254437865,0.1482843137254901,0.8124,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_2y,2,65,14,51,0.7016806722689075,0.522189349112426,0.8571428571428572,0.019460965497952468,-0.10049273407587896,0.15489323710477537,0.8076,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_3y,3,51,19,32,0.7828947368421052,0.6413043478260869,0.8981498015873015,,,,,,,
ridge_d_hat,combat,MCI_to_AD_3y,3,51,19,32,0.8108552631578947,0.6717099567099567,0.9285714285714286,0.02822278093277206,-0.0714453649798477,0.1349517236562143,0.6032,,,
oracle_true_d_mod3,combat,MCI_to_AD_3y,3,51,19,32,0.6858552631578947,0.5235554558745348,0.8397741312741311,-0.09704420067312089,-0.2760649935649936,0.08824980650154769,0.2768,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_3y,3,51,19,32,0.774671052631579,0.627315605590062,0.8982186059907834,-0.008281531273776588,-0.12679005261979398,0.11746268099716375,0.8844,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_4y,4,45,22,23,0.6679841897233201,0.4960297378060536,0.8221343873517787,,,,,,,
ridge_d_hat,combat,MCI_to_AD_4y,4,45,22,23,0.7628458498023716,0.6086956521739131,0.896,0.09445487730336902,-0.051587301587301515,0.24110671936758887,0.2096,,,
oracle_true_d_mod3,combat,MCI_to_AD_4y,4,45,22,23,0.6640316205533597,0.48595474308300396,0.816,-0.004485004964315603,-0.23926205300127706,0.23715415019762842,0.9792,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_4y,4,45,22,23,0.7213438735177865,0.5555322128851541,0.8634501527883881,0.05364374691231869,-0.12055335968379455,0.23042360864941497,0.5444,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_2y,2,59,5,54,0.2777777777777778,0.12666666666666668,0.45024725274725264,,,,,,,
ridge_d_hat,combat,CN_to_MCI_2y,2,59,5,54,0.8444444444444444,0.6964285714285714,0.9545454545454545,0.5686534650551853,0.33333333333333337,0.7818181818181817,0.0,,,
oracle_true_d_mod3,combat,CN_to_MCI_2y,2,59,5,54,0.6518518518518519,0.4407407407407407,0.8481481481481481,0.3755320185630099,0.05228070175438593,0.6226415094339623,0.02970098334336745,,,
euclidean_contrastive_z_setup3,combat,CN_to_MCI_2y,2,59,5,54,0.6666666666666667,0.4182132647226987,0.8947368421052632,0.39283975420133177,0.10526315789473684,0.6892337164750956,0.006020469596628537,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_3y,3,49,9,40,0.40555555555555556,0.22564102564102567,0.5945121951219512,,,,,,,
ridge_d_hat,combat,CN_to_MCI_3y,3,49,9,40,0.7194444444444444,0.5476190476190477,0.8743910256410258,0.31454180875947274,0.05022727272727261,0.5797101449275363,0.021204240848169634,,,
oracle_true_d_mod3,combat,CN_to_MCI_3y,3,49,9,40,0.5777777777777778,0.4136067193675889,0.7393135435992583,0.17417085765192142,-0.05427147603227336,0.3945578231292517,0.1360272054410882,,,
euclidean_contrastive_z_setup3,combat,CN_to_MCI_3y,3,49,9,40,0.5722222222222222,0.3794871794871795,0.7561131957473421,0.16495885469244584,-0.13605442176870752,0.4722474747474749,0.2844568913782757,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_4y,4,42,9,33,0.44781144781144777,0.24401773872679047,0.6532414232414234,,,,,,,
ridge_d_hat,combat,CN_to_MCI_4y,4,42,9,33,0.6936026936026936,0.5026696083838941,0.8545972876330019,0.2485632963849891,-0.03947368421052633,0.525735294117647,0.09441888377675535,,,
oracle_true_d_mod3,combat,CN_to_MCI_4y,4,42,9,33,0.5858585858585859,0.41202342047930285,0.7551020408163265,0.1433959129782797,-0.1306122448979592,0.40003367003367024,0.3052610522104421,,,
euclidean_contrastive_z_setup3,combat,CN_to_MCI_4y,4,42,9,33,0.5622895622895623,0.3632142857142857,0.7591836734693876,0.11756109955976812,-0.16181537970331067,0.41911764705882354,0.43528705741148227,,,
ridge_d_hat,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.030297858584895643,0.017557153581125508,0.017504234895539244
euclidean_contrastive_z_setup3,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.044366464124565796,0.010588442002289342,0.1225296442687747
direct_768_ridge_time,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.964715236919073,0.0006721413816840474,0.044607566346696784
oracle_true_d_mod3,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-4.019868159245994,0.005088981241311654,0.11575381140598533
