input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot,result_dir,config
raw,setup3,0.8016470588235294,0.5816061776061776,0.7344992050874404,0.4893617021276595,0.6380673728364447,0.7785714285714286,0.6786516853932585,0.124567882694996,0.4458391574318694,0.4182502192473673,0.1629176225174013,hybrid,1.0,1.0,10.0,0.3,1.0,0.0273640155792236,0.0290425345301628,0.014077940955758,0.1441921889781952,22.0,3.0,0.0,0.0749224677126357,results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,hybrid_a10_l0.3
raw,setup3-s,,,,,,0.7749999999999999,0.6696629213483146,,0.439716633029508,0.4108540467513775,,hybrid,1.0,1.0,10.0,0.3,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,hybrid_a10_l0.3
raw,setup4,0.8362352941176471,0.6077992277992278,0.7785600726777198,0.5040916530278232,0.6794367821245079,0.62,0.4898876404494382,0.1112283110080748,0.421548478159595,0.3873172697481772,0.0896465489529199,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.4615384615384615,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup3,0.8290196078431372,0.6123397683397683,0.7396093572564161,0.4909983633387889,0.6566644862061018,0.7264285714285714,0.5887640449438203,0.1175534731663378,0.4492903538867528,0.4341043685859952,0.1773798197727369,hybrid,1.0,1.0,10.0,0.3,1.0,0.0259106513112783,0.0252163242548704,0.0131896715611219,0.1022693738341331,20.0,1.0,0.0,0.1552258208426779,results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,hybrid_a10_l0.3
combat,setup3-s,,,,,,0.7214285714285715,0.6202247191011236,,0.4087995339751601,0.3962186865570193,,hybrid,1.0,1.0,10.0,0.3,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,hybrid_a10_l0.3
combat,setup4,0.8244313725490197,0.6014208494208494,0.7666363842834432,0.486088379705401,0.681719671172746,0.5800000000000001,0.2269662921348315,0.1222830169833851,0.4196445802775687,0.4112048951479387,0.090767351203206,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l0p3_05152016_s60_c150_h384_l256,nan
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.4517184942716857,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.0453486034165119,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,nan
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.4599018003273322,0.6100324148600236,0.6264285714285713,0.2404494382022471,0.0566773786006109,0.3766981130296147,0.338407067915162,0.0995213357389061,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,nan
