method,input_version,task,horizon_years,n,n_converters,n_nonconverters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_days,pearson_score_neg_days,spearman_score_neg_days
oracle_true_d_mod3,combat,MCI_to_AD_1y,1,85,4,81,0.6697530864197532,0.3766033349366683,0.9457831325301204,0.0222766654533635,-0.2377645502645503,0.3132530120481928,0.8882101405009163,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_1y,1,85,4,81,0.7438271604938271,0.5476190476190476,0.9642857142857144,0.0992834383757319,-0.0863821138211381,0.2710843373493976,0.2541233964569334,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_2y,2,65,14,51,0.6834733893557423,0.5277515723270441,0.8218259485612427,,,,,,,
ridge_d_hat,combat,MCI_to_AD_2y,2,65,14,51,0.7717086834733894,0.6190436507936509,0.8977600946038793,0.0887939029091125,-0.0241486676597152,0.2149177242752271,0.1368,,,
oracle_true_d_mod3,combat,MCI_to_AD_2y,2,65,14,51,0.6624649859943977,0.4988168804755944,0.8108755641521599,-0.0207819352073731,-0.1863905325443786,0.1482843137254901,0.8124,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_2y,2,65,14,51,0.7016806722689075,0.522189349112426,0.8571428571428572,0.0194609654979524,-0.1004927340758789,0.1548932371047753,0.8076,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_3y,3,51,19,32,0.7828947368421052,0.6413043478260869,0.8981498015873015,,,,,,,
ridge_d_hat,combat,MCI_to_AD_3y,3,51,19,32,0.8108552631578947,0.6717099567099567,0.9285714285714286,0.028222780932772,-0.0714453649798477,0.1349517236562143,0.6032,,,
oracle_true_d_mod3,combat,MCI_to_AD_3y,3,51,19,32,0.6858552631578947,0.5235554558745348,0.8397741312741311,-0.0970442006731208,-0.2760649935649936,0.0882498065015476,0.2768,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_3y,3,51,19,32,0.774671052631579,0.627315605590062,0.8982186059907834,-0.0082815312737765,-0.1267900526197939,0.1174626809971637,0.8844,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_4y,4,45,22,23,0.6679841897233201,0.4960297378060536,0.8221343873517787,,,,,,,
ridge_d_hat,combat,MCI_to_AD_4y,4,45,22,23,0.7628458498023716,0.6086956521739131,0.896,0.094454877303369,-0.0515873015873015,0.2411067193675888,0.2096,,,
oracle_true_d_mod3,combat,MCI_to_AD_4y,4,45,22,23,0.6640316205533597,0.4859547430830039,0.816,-0.0044850049643156,-0.239262053001277,0.2371541501976284,0.9792,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_4y,4,45,22,23,0.7213438735177865,0.5555322128851541,0.8634501527883881,0.0536437469123186,-0.1205533596837945,0.2304236086494149,0.5444,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_2y,2,59,5,54,0.2777777777777778,0.1266666666666666,0.4502472527472526,,,,,,,
ridge_d_hat,combat,CN_to_MCI_2y,2,59,5,54,0.8444444444444444,0.6964285714285714,0.9545454545454544,0.5686534650551853,0.3333333333333333,0.7818181818181817,0.0,,,
oracle_true_d_mod3,combat,CN_to_MCI_2y,2,59,5,54,0.6518518518518519,0.4407407407407407,0.8481481481481481,0.3755320185630099,0.0522807017543859,0.6226415094339623,0.0297009833433674,,,
