input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.8596078431372549,0.5764787644787644,0.7619804678628208,0.45171849427168576,0.6572470492793042,0.6435714285714286,0.3168539325842697,0.23710960875446763,0.5124470794932334,0.4669281913831996,0.045348603416511986,,,,,,,,,,
raw,setup2,0.7524313725490196,0.5689575289575289,0.7009993186463774,0.44189852700491,0.6127946643856038,0.6264285714285713,0.22921348314606743,0.012801923208877852,0.3454952586862253,0.3331485710648189,0.10893221902655893,,,,,,,,,,
raw,setup3,0.7898039215686274,0.5935907335907336,0.7123930653342418,0.48117839607201307,0.6382816015187543,0.7735714285714286,0.6741573033707865,0.14677109234598906,0.45338144009143466,0.42528181243788865,0.1977026800796132,0.025356950238347054,0.026454780250787735,0.010836783796548843,0.12818174064159393,21.0,3.0,0.0,results_plain_euclidean_05152016_s60_c150_h384_l256_cls_tasks/setup3_pca_d_mod3_raw.png,results_plain_euclidean_05152016_s60_c150_h384_l256_cls_tasks/setup3_pairwise_distance_raw.png,results_plain_euclidean_05152016_s60_c150_h384_l256_cls_tasks/setup3_tsne_d_mod3_raw.png
raw,setup4,0.829529411764706,0.5813127413127412,0.7717843894314483,0.49263502454991814,0.6518754314314462,0.6757142857142857,0.4000000000000001,0.014894657637854913,0.3490052400996621,0.3284110918387371,0.0667241333812435,,,,,,,,,,
combat,setup1,0.8472549019607843,0.5784710424710425,0.7610719963661139,0.46153846153846156,0.6611717149327282,0.6842857142857142,0.2898876404494382,0.1477212981951288,0.44504193626537986,0.4377654708149795,0.035627890401461894,,,,,,,,,,
combat,setup2,0.7658431372549019,0.5625637065637065,0.6826406238170943,0.46808510638297873,0.6219119095663899,0.6071428571428571,0.24719101123595505,-0.04632501300338676,0.29730281849343204,0.32393546388299965,0.08885779388011894,,,,,,,,,,
combat,setup3,0.8101960784313725,0.6089729729729729,0.7196608373078961,0.49427168576104746,0.6525218084696286,0.7000000000000001,0.6539325842696628,0.13283937683449965,0.44492577230355557,0.4307594981326491,0.17084733953231981,0.02438259869813919,0.024268008768558502,0.008879944682121277,0.12372191995382309,19.0,3.0,0.0,results_plain_euclidean_05152016_s60_c150_h384_l256_cls_tasks/setup3_pca_d_mod3_combat.png,results_plain_euclidean_05152016_s60_c150_h384_l256_cls_tasks/setup3_pairwise_distance_combat.png,results_plain_euclidean_05152016_s60_c150_h384_l256_cls_tasks/setup3_tsne_d_mod3_combat.png
combat,setup4,0.8269411764705882,0.576988416988417,0.7698538875009463,0.502454991816694,0.6685428412273016,0.5735714285714286,0.2853932584269663,0.09620327282370045,0.4300183626672355,0.40641738490894197,0.0892413044323609,,,,,,,,,,
