input_version,setup,cn_ad_auc,3class_acc,3class_macro_auc,mci_conv_auc,r2_d_mod3,pearson_d_mod3,z_std_train,z_std_test,alignment_spearman
raw,setup1,0.8634994656562712,0.49743589743589745,0.6566878156846665,0.5,0.1778461795729136,0.4618281713454936,,,
raw,setup2,0.781599145050034,0.4,0.5803820574005851,0.4285714285714286,0.0012988711407838638,,,,
raw,setup3,0.8174487515787426,0.4307692307692308,0.6303616047309651,0.6833333333333333,0.1296591163040277,0.4286227521583482,0.014254149049520493,0.014276986941695213,0.16414836734863147
raw,setup4,0.7945205479452054,0.4846153846153846,0.6455488234131707,0.5619047619047619,0.13934595985080678,,,,
combat,setup1,0.7926746332458954,0.46153846153846156,0.6271360820569679,0.49523809523809526,-0.07818887559015542,0.2978007003830132,,,
combat,setup2,0.7372000388613621,0.39487179487179486,0.5306387483410889,0.7928571428571429,-0.1393451898243514,,,,
combat,setup3,0.7908287185465851,0.4461538461538462,0.6158441213922958,0.6761904761904762,0.0070877574779659724,0.3739642133564936,0.0167878158390522,0.01667380891740322,0.09924355948327176
combat,setup4,0.784222286991159,0.43846153846153846,0.5813376272882591,0.4666666666666667,-0.03555373134991857,,,,
